comment,likes,author,processed_comment
dan akhirnya sekarang ka Tasya bsa ke pabriknya langsung,0,@mithaprischylia9157,kak tasya bsa pabrik langsung
Yang katanya focallure abu2 bener gak sih?,0,@sieland7429,focallure abu bener sih
"bagus sih ka tapi di itung""semuanya 1,115 😂😂😂",0,@selfinadamayanti8666,bagus sih kak itung
wah gilaseeeeh dari dulu2 udah sering liat focallure di shopee cuma takut bgt belinya gara2 shock aja ada makeup semurah2 ituuu wwkw sekarang ngeliat hasilnya bagus gile cuyyy jadi pengen beliiii wkwkwk,0,@sugarwipy,gilaseh lihat focallure shopee takut banget beli gara shock makeup murah wwkw hasil bagus gile cuy beli tertawa
"Tanya dong, kalo focallure yg po dari china tuh beneran ori apa fake ya? 
Soalnya di shopee murah2 banget, foundation cuma 30 rb an 😱
Jawab dong yg tau",0,@knisah6974,focallure po china tuh beneran ori fake ya shopee murah banget foundation rb an
"Nonton video tasya aku jdi Pengen banget beli semua produk focalure,,
Tasya keren banget make upx
Jdi tambah ngefans dah,, 😘😘😘😘😘😘😘😘",1,@Qalby86mamamialezatos,nonton video tasya jdi banget beli produk focalure tasya keren banget make upx jdi ngefans dah
"Cantiikk????
Ka cara mekup kulit saomatang  gimana yahhh????",0,@yantimandacan8640,cantiikk kak mekup kulit saomatang gimana yah
Dan akhirnya CEO Focallure langsung kaya raya sekejap setelah video ini diupload 😂😂,1,@einesyaflow,ceo focallure langsung kaya raya kejap video diupload
Kak plis bikin makeup set,0,@arkiwahyu6922,kak plis bikin makeup set
Harga makeup foccalure lengkap cuma habis 400ribuan kak.. aku baru aja beli😂,0,@kapanlangsing,harga makeup foccalure lengkap habis ribu kak beli
"ka lightingnya keterangan deh,jadi gajelas aku liat pas di aplikasiin ke wajahnya",0,@lelanurlaela6051,kak lightingnya terang deh gajelas lihat pas aplikasiin wajah
Ka coba pake peroduk oriflame ka,0,@enengonih2208,kak coba pakai peroduk oriflame kak
Suka banget ngeliat video ini berulang ulang krn reaksi kk tasya 😁😁,0,@dianahutabarat32,suka banget video ulang ulang reaksi kak tasya
Leny Agustus 20 ribu itu apa sis? Focallure memang harganya trjangkau loh,0,@liskarony1561,leny agustus ribu sis focallure harga trjangkau loh
Beli di website nya ajja langsung,0,@Nuevirgio710,beli website nya ajja langsung
"Baru liat video ini wkwk.😭😭 Dan langsung beli focallure, banyak bgt cuma habis 500rb an, murah bgt😭😭😭 racun kak😭😭😭😭😭",3,@alvionyvio,lihat video tertawa langsung beli focallure banget habis rb an murah banget racun kak
"Focallure skrng udh dijual di c&f botani square,  bogor",0,@savanthiemakagiansar7809,focallure skrng jual c f botani square bogor
"Kalau udh gak kepake bisalah d ksih aja sma yg membutuhkan,  drpada nnt mubazir,  gua yakin bnget klau ka tasya pnya bnyak kosmetik 🤣🤣🤣🤣🤣😂",0,@ArdinameccaArdinamecca,kepake bisa d ksih sma butuh drpada nnt mubazir gua bnget klau kak tasya pnya bnyak kosmetik
"kak, di menit 9:08 ""eyeshadow yg dibilang bagus sebelum2 ini, lewat semuanya"" , tapi daily ttp pake merk lain yg lebih mahal diatas focallure atau focallure yg dikata bagus banget, tp murah ?",1,@annishagusti6560,kak menit eyeshadow bilang bagus daily ttp pakai merk mahal atas focallure focallure kata bagus banget murah
Aku baru tahu kalau consealer mamah aku brand focallure,0,@shofiaazzahra9961,consealer mamah brand focallure
cuwantikkkk😍😍😍😍,0,@faradillaanggi9230,cuwantik
Di shopee murah masaa:(,0,@najlarahmadina9856,shopee murah masaa
Aku bli fondi ny 30k,0,@najlarahmadina9856,bli fondi ny k
aku bli di shofee .  murah murah bngt .  lebih murah dr tasya sebutkan,0,@anarosdiana8592,bli shofee murah murah banget murah tasya sebut
"mirip bella swan ,di film twilught",0,@izmiazhry7735,bella swan film twilught
cek instagram @leni_homeshop kak jual focallure,0,@leniwast2415,cek instagram kak jual focallure
"Hai semua.... Cek website nshop25.com 
Banyak produk focallure yang lgi diskon lho 😍",0,@nurulq1429,hai cek website nshop com produk focallure lgi diskon lho
kak behel nya bisa di lepas gaaj,0,@masniahmasdar3217,kak behel nya lepas gaaj
"Ok produk nya bagus, tapi ketahanan nya gimana tas?
Test dong",0,@findareidhita9907,ok produk nya bagus tahan nya gimana tas test
Aku gak bilang ini semua rekomended tapi ini semua rekomended 😂😂😂,0,@michiajadeh,bilang rekomended rekomended
"Halal ga, yaaa ?? At least ada logo halal MUI (Indonesia) atau halalnya MUI (International), ga ??",1,@sanriodi7850,halal ya at least logo halal mui indonesia halal mui international
2018 kak.. Mna suaranya yg lain🙋🙋🙋,0,@gajahkuru853,kak mna suara
"Kamu cantik biar gak make up. Tp Sya...review produk kita ding....coz dari pada ngelakuin produk  china, knp gak pake produk kita aja yg aman dan jelas halal.",0,@meisarah1910,cantik biar make up sya review produk ding coz ngelakuin produk china knp pakai produk aman halal
"Ka kebanyakan ngomong😂😂 tapi mantaps ka, aku juga pake focallure harganya terjangkau🤗🤗",0,@styfardianti,kak banyak ngomong mantaps kak pakai focallure harga jangkau
Review produknyah oriflame dong kak tasya..yg giordani gold atau the one nya gitu ..pengen tau hasilnya kakak,0,@tingtungchnl7810,review produknyah oriflame kak tasya giordani gold the one nya hasil kakak
"@iqbal indradinata di Shopee Banyak yg jual😁😁 aku 500rb dapet bedak padat, loose powder, lipcream 2, concealer 2, foundie 2, pensil alis, blush on 2, eyeshadow,primer,set brush sama beauty blender 😆😆😆",0,@alvionyvio,indradinata shopee jual rb bedak padat loose powder lipcream concealer foundie pensil alis blush on eyeshadow primer set brush beauty blender
Aku jual ka silahkan yg mau bisa cht 085711675131 kalau gak cek fbku Deti rojabiyah,0,@jakaorgan1874,jual kak silah cht cek fbku deti rojabiyah
http://bit.ly/2RXgTe2 use this link to get discount from Focallure.com,0,@alicetwine,use this link to get discount from focallure com
"Ko terang bgt sih kak 
Jadinya terlalu putih mukanya",0,@windas.ekasari4618,ko terang banget sih kak putih muka
PIG MAN,0,@neurolgin799,pig man
Ka terlalu banyak ngomong jadi ga fokusss,0,@mayaika3513,kak ngomong fokus
endorse geto loh..,0,@aanabdillah8218,endorse geto loh
Punyaku yg shade no.3 sm no.4 rata2 😂😂😂,0,@diyen_aniroz,punya shade no no
pake bulu mata palsu kak🤣,0,@zahrareac639,pakai bulu mata palsu kak
Tipe make up andalan orang arab..,0,@puriberharapan8356,tipe make up andal orang arab
Ini channel beuty atau lawak sih kakk .. ngakak beut dah 😁,0,@rarayaya9692,channel beuty lawak sih kakk tertawa beut dah
"Lebih murah kalo beli dishopee ka, barangnya dikirim dr cina langsung haha cucok meong bagi yg mau makeupan harga merakyat💜",0,@bellanrzh9910,murah beli dishopee kak barang kirim cina langsung tertawa cucok meong makeupan harga rakyat
"Ka tasya diapa2inn ttp cantikk
❤💏💏",0,@novadwiirnawati9808,kak tasya apa inn ttp cantikk
"Gw sering nonton beauty vlogger, tp gada yg buat gw nonton sambil ngakal so hard kaya channelnya tasya, udah cantik, hiperaktif pula 🤣 tp sumpah gw suka bgt m tasya farasha 😍",0,@Akusiapaa-z,nonton beauty vlogger gada nonton ngakal so hard kaya channelnya tasya cantik hiperaktif sumpah suka banget m tasya farasha
Kakak cantik banget,0,@naura112,kakak cantik banget
Aq beli brang dirim dri china harga lbih murah hmpir separonya,0,@dalienwu2132,beli brang rim dri china harga lbih murah hmpir paro
Emang parah focalur eyeshadow tropical wuiiiiih.... Pigmetd......,0,@nunikandriyani9347,parah focalur eyeshadow tropical wuih pigmetd
"Kak tasya nanya di detik 4.32 "" ini produk apa sih"" kan kak tasya yg review masa gk tau itu produk apa wkwk 
Hanya bercanda yaa kak 🙏",0,@vanyacherry8494,kak tasya nanya detik produk sih kak tasya review produk tertawa canda ya kak
"Serius aku kemren juga liat"" di aplikasi perbelanjaan dan dikirim dari luar negri tapi harganya murah"" sempet gak percaya kalok bagus. But aku liat youtube kaka kok kliatan bagus jadi pengen beli jugaa😍😍",0,@kumalalestari1139,serius kemren lihat aplikasi belanja kirim negri harga murah sempet percaya kalok bagus but lihat youtube kaka kliatan bagus beli jugaa
Overlight,0,@sitiulfahfadilah5872,overlight
Ini mbuktikn klau cantik itu ga harus mahal. 😊😊.,3,@cherlintanashlint925,mbuktikn klau cantik mahal
"Kak kok aku nyobain ga cocok d muka aku malah lose powdernya, lipcream nya lengket bgt :(",0,@elsatrianasukandi480,kak nyobain cocok d muka lose powdernya lipcream nya lengket banget
"Kak kok aku nyobain ga cocok d muka aku malah lose powdernya, lipcream nya lengket bgt :(",0,@elsatrianasukandi480,kak nyobain cocok d muka lose powdernya lipcream nya lengket banget
Itu foundation nya keputihan ato lightingnya keputihan? :(,0,@angelicayovina4309,foundation nya putih ato lightingnya putih
Cocok gak sii buat kulit berminyak?,0,@ZyahFauzia,cocok sii kulit minyak
Ku menyesal baru melihat video ini :( knp g dari dulu gt,0,@citrahayuningkinasih1670,ku sesal video knp g gt
Gw baru beli focallure ultra chic lips yg 07. Sumpah gw suka bgt warnanya.,0,@debzora7009,beli focallure ultra chic lips sumpah suka banget warna
Foundation foccalure 95rb!! Mahal bgt! Aku beli di malaysia kynya ga nyampe 30rb dan itu ori,0,@dianratnasari4641,foundation foccalure rb mahal banget beli malaysia kynya nyampe rb ori
Aaaaaaaww 😍😍😍😍,0,@diansunras8558,aww
"Selalu nonton,,,  suka bgt,,, cantik bgt kk",0,@Putri-wj5zv,nonton suka banget cantik banget kak
Keren cantik loooo,0,@pangeraniwan4721,keren cantik lo
kayanya  terlalu silaw 😂🙏,0,@liatriana_,kaya silaw
gue ga ngerti lagi lu cantik banget kakkkkkk,0,@srirahmadewi9692,ngerti lu cantik banget kak
"Gue nyari komen total harga, pusing scroll gk nemu2 akhirnya ngitung sndiri,.😂",0,@adelwishkamila713,nyari komen total harga pusing scroll nemu ngitung sndiri
Keren bgt 👍🏻 q pake juga kak...,0,@Griyalopeu,keren banget q pakai kak
"hallo ka tasya farasya, aku udah tonton video kaka nge-review tentang prodak focallure wah murah murah ya ka 😍 tapi ada juga loh ka prodak flormar kalo ga salah brand itali dia murah murah juga loh ka, aku liat ada eyebrow berbentuk spidol dari flormar , review dong ka cara gunain prodak eyebrow itu aku mau tau caranya 😂",0,@fajrianacitra30,hallo kak tasya farasya tonton video kaka nge review prodak focallure murah murah ya kak loh kak prodak flormar salah brand itali murah murah loh kak lihat eyebrow bentuk spidol flormar review kak gunain prodak eyebrow
Otw semua produk make up ku focallure😍,0,@aurafamilly,jalan produk make up ku focallure
Kek orang barat 😂 cantik kali 😊,0,@arvittaregita1801,kek orang barat cantik kali
"Kak, Focallure tahannya kira2 brapa lama yah? Dan cocok untuk makeup mua gak?",0,@nuralfatihani9664,kak focallure tahan brapa yah cocok makeup mua
"Makasih ya...rekomen tuk prodak yg bagus donk,",0,@inasirandan2201,terima kasih ya rekomen tuk prodak bagus donk
Bingung gkbisa makeknya 😄😄😄😁😁😁 biasanya cm bedakan doang,0,@mamabelalatifahrico9606,bingung gkbisa makeknya cm beda doang
Tasya ceria farasya,0,@Akumautau88,tasya ceria farasya
cantiknya kak tasyaa😍😍,0,@TVnaura,cantik kak tasyaa
Kak aku beli online dari cina lebih murah foundation cuma 34ribu loose powder juga cuma 25ribu,0,@istiyaulkharimah3953,kak beli online cina murah foundation ribu loose powder ribu
sekilas mirip avril  lavigne,0,@nuryantonuraini9302,kilas avril lavigne
Halal ga? Dr cina soalnya,0,@mpokpia57,halal cina
"Setelah berkali-kali nonton video ini akhirnya q keracunan dan malah jadi jualan produk"" dari focallure
Cek ig @safar_shop_
Maaf malah numpang promo ka tasya 
#racunfarasya",2,@playwithme4392,kali kali nonton video q racun jual produk focallure cek ig maaf numpang promo kak tasya
kak klok kita pakek fondation warnanya lebih cerah dari mu kita apa samain aja sama warna kulit kita plis butuh respon kk,0,@dirarara10,kak klok pakek fondation warna cerah mu samain warna kulit plis butuh respon kak
bagus,0,@JuliantoSoeroso,bagus
"Kak tasya, kalok pake highlighter tanpa fondation atau base make up lainnya bisa gk kak? Soalnya wajah sensitif gak bisa kaya kak tasya yg full coverage gtu. Tolong sarannya ya kak.",0,@ketuthingkie5201,kak tasya kalok pakai highlighter fondation base make up kak wajah sensitif kaya kak tasya full coverage gtu tolong saran ya kak
"Setting lighting nya terlalu lebay 
Jadi gk keliatan pas dia nunjukin make up nya ke kamera nya 
Mungkin ring light nya terlalu terang kli yahhhh maybe",0,@dilahfadilah5632,setting lighting nya lebay liat pas nunjukin make up nya kamera nya ring light nya terang kli yah maybe
Jd pengen beli produknyaa kaka udh ngeracunin gtu pake produknya yaa ampuuun..,0,@aghniafabiancarachmadinabh9215,beli produknyaa kaka ngeracunin gtu pakai produk ya ampun
kak aq blh nnyak ndak itu prodak apa aja yg hrs di bli,0,@zhakariaal-anshory6155,kak blh nnyak ndak prodak hrs bli
mirip bu ala bgt kak,0,@beliaany322,bu ala banget kak
aduhh kepala gw sakit...karna Racun...kaya ada Bisik Bisikan #BELITUMAKEUP#😨,0,@jengkol187,aduhh kepala sakit racun kaya bisik bisik
Aku suka focallure harganya mumer juga 25rbuann💖💖💖,0,@dillanatalia9991,suka focallure harga mumer rbuann
Masuuk pak eko 😍😍,0,@sittifathimah1095,masuuk eko
Jadi galau sumpah pingin coba brand make over atau brand focallure ini.🤕,0,@ridafarida4454,galau sumpah pingin coba brand make over brand focallure
Aku gamau banyak omong 😄,0,@sofinuraini5249,gamau omong
GILAAA MURAH BGTT!! 😩😭,0,@mayasalsabiil7921,gila murah banget
jadi inget bioaqua yg copycat skinaqua,0,@laraswidyas3301,inget bioaqua copycat skinaqua
gara2  dek tasya blg eyeshadownya bagus... saya jd beli langsung wagelaseh... racun syekalee hey... gak sabar nunggu paket uwuwuwu,0,@auxxytv,gara dek tasya blg eyeshadownya bagus beli langsung wagelaseh racun syekalee hey sabar nunggu paket uwuwuwu
"""Pengen jd ownernya focallure"" 
Ya bisa aja lah sya 😂",8,@anitayulia1722,ownernya focallure ya sya
Lengkap sudah aku beli produk focallure.. gara2 racun dunia ini.. wkwkwkwkwkw..,0,@talitakum9397,lengkap beli produk focallure gara racun dunia wkwkwkwkwkw
"Di shopee focallur harganya lebih murah dibanding kk tasya sebutin, tapi emng bagus produknnya",0,@sakiakumala1480,shopee focallur harga murah banding kak tasya sebutin emng bagus produknnya
Eyeshadow palette nya focallure daebak,0,@diandradee1853,eyeshadow palette nya focallure daebak
RACUUUUUUN PARAHHHH,0,@ocktaviyanti4642,racun parah
itu kakak pke bulu mata apa gk ya??,0,@rahmiati7000,kakak pakai bulu mata ya
Itu TAHAN LAMA GAK YA KAK?????? TOLONG DI JAWAB SOAL NY MAU BELIIIIIII,0,@inaputrisahaja4356,tahan ya kak tolong ny beli
Mau tanyaa ini produk focalur endors dari produsen focalur atau ka tasya beli ya soalnya aku mau buat skripsi mengenai video ini trimakasih yg tau mohon bantu jawab ya 😊,0,@galihmakeupartist,tanyaa produk focalur endors produsen focalur kak tasya beli ya skripsi video trimakasih mohon bantu ya
Gw ga demen bgt ngeliat muka nih cewe. Kata gw mah mukanya serem kyk vampire. 😬,1,@dinasibuea1499,demen banget muka cewe mah muka rem kyk vampire
Cantik sih cantik tapi tebelnya minta ampun,0,@desriwahyuni2167,cantik sih cantik tebelnya ampun
Pernah kena tipu beli on9???,0,@ibuhafizah9647,kena tipu beli on
"Jam 12 ku nonton ini gara2 lihat snap kamu,gilakkkk sukaaa bangetttt ❤️❤️❤️❤️",0,@indahdstwt,jam ku nonton gara lihat snap gilak suka banget
"Teramat sangat racun pake banget2 sampai2 di online shop gw selalu nyari produc2 focallure terus menerus di karenakan gw melihat Barbie farasya pake produc focallure.... Dan gw teracuni, dan gw kefikiran terus menerus saat gw blm beli, dan skrng ahirnya gw beli juga lroduc focallurenya ,  kalaupun barangy blm sampe hahaha",0,@heruayuofficial2022,amat racun pakai banget online shop nyari produc focallure terus karena barbie farasya pakai produc focallure racun kefikiran terus beli skrng ahirnya beli lroduc focallurenya barangy tertawa
"Ka tasya aq pake fondation focalur tp bedak tabur marck sm bedak padat wardah... tp klo keringetan kp retak2 yah? Jadi kaya nimbul gitu dempulan.a.. oudor jg pecah2 gitu ...di tap pelan pake tisu krn kringetan eh luntur😅 jd hilang gitu...pdhal dh pke seting spray mineral botanica... 
Salah dmn y ka? Solusinya donk😭",0,@rahmawatinanda247,kak tasya pakai fondation focalur bedak tabur marck bedak padat wardah keringetan kp retak yah kaya nimbul dempul a oudor pecah tap pelan pakai tisu kringetan eh luntur hilang pdhal dh pakai ting spray mineral botanica salah dmn y kak solusi donk
kok jadi mirip sama dualipa yaa,0,@mitaputry5111,dualipa ya
Dan sial nya gw nonton vidio ini mesti jam 12an 😑,0,@haleciyen,sial nya nonton vidio mesti jam an
beli dmna ka?,0,@astip.melianasari9618,beli dmna kak
Cek olshop ig @belangibeauty.store,0,@hongkitaemin,cek online shop ig store
"aaa telat aku tonton nya,  dan ga nyesel aku beli set focallure. ternyata ka tasya sukaaaa....... hahhaa hubungan nya apa 😂",0,@aprillianiayu6806,a telat tonton nya nyesel beli set focallure kak tasya suka hahhaa hubung nya
Katasyaa foundation focallur itu full coverage ga??,0,@MiftahulJannah-wd1zv,katasyaa foundation focallur full coverage
Yang mau beli all product FOCALLURE 💯 ORI bisa WA: 085778612112,0,@annisaazzahraputri1338,beli all product focallure ori wa
Mmng asli cantik Non Tasya...😘😘😘,0,@aclaefendy9131,mmng asli cantik non tasya
"❤❤❤selamat datang di toko kami ,kami jual produk focallure termurah.❤❤❤
❤❤https://shopee.co.id/shop/69014697/❤❤",0,@katherinecass1666,selamat toko jual produk focallure murah
Kak Tasya itu beli dimana,0,@windatria8816,kak tasya beli mana
Hah jam 12mlm hih.........   Tatut 😮😮😮😮😮,0,@yoyoprayogie6700,hah jam mlm hih tatut
Kak perasaan aku keputihan 😅😅😅,0,@yoyoprayogie6700,kak asa putih
kami jual 100% ori produk focallure   https://shopee.co.id/shop/83032808/    selamat datang toko kami.terima reseller dan dropship.,0,@kevinsitar8677,jual ori produk focallure selamat toko terima reseller dropship
cansssss😍😍😍,0,@dindaaja2971,cans
"Apa cuma gw yg gak bosen nonton ini?
Waktu pertama kali tau focallure ya dari kak Tasya wkwkwkwk",0,@adveniasabiana3803,bosen nonton kali focallure ya kak tasya wkwkwkwk
"Akhirnyaaa, aku emang syuka banget sama eye shadow focallure 😍",0,@dwisetyorini5509,syuka banget eye shadow focallure
"amazing cantik bgt. .

Subscribe my happy vlog",0,@TheHana88888,amazing cantik banget subscribe my happy vlog
Tasya tolong rekomendasi kan bulu mata lokal yang bagus untuk full make up,0,@mentaripagi5019,tasya tolong rekomendasi bulu mata lokal bagus full make up
"aku gamau terlalu ngomong, tapi tetep aja ya kak , auto ngakak😂",0,@nurulandriani2752,gamau ngomong tetep ya kak auto tertawa
dilarang gosip makeup kak 😆,0,@niketutsinarsih9168,larang gosip makeup kak
Racunnya kenceng 😭😭,0,@theresiafebrian5154,racun kenceng
Ini tmn nya ricis bukan,0,@bii_yah1330,tmn nya ricis
"[PO FOCALLURE ORI CHINA]

Hey Girl! (girl) Pasti tau dong Brand Focallure yang lagi hist ini.  Sering banget di review sama beautyvloger itu loh, yang Eyeshadownya pigmented banget itu ! Lagi Ada Open PO nih buat kamu kamu yang ingin banget punya produk dari Focallure ini.  Ets, jangan takut sama harganya girl. Dijamin MURAH BANGET!!  
1. FOCALLURE18 Shades Full Function Pallete (Twilight) : 150K (harga asli 300k) 
2.FOCALLUR Palette Blush on/ Highligther 3 color: 45k (harga asli 70k) 
3. FOCALLUR Makeup Powder : 50k (harga Asli 127k) 
4.FOCALLURE Eyebrow Pencil Waterproof : 35k (harga asli 60k) 
5.FOCALLURE Shimmer Bronzer Highlighters Powder: 50k (harga asli 80k) 
6.FOCALLURE New Pressed Makeup Powder  : 80k ( harga asli 127k) 
7.FOCALLURE Makeup Mate Liquid Lipstik : 65k (100k) 
8. FOCALLURE Face Highlighter Stick : 50k (100k) 
9.FOCALLURE Palet Blush On : 45k (harga asli 85k) 
10. FOCALLURE Triple Lip Crayon : 65k ( harga asli 115k) 
11. FOCALLURE Stick Concealer : 75k ( harga asli 161k)
12. FOCALLURE 9 Colours Shimmer Matte Pigment Gliter : 65k (126k) 
13. FOCALLURE 20 Colours Eyeshadow Palette Glamorous  Smokey : 145k ( harga asli 231k)  
14.FOCALLURE Mascara Volume Express : 55k(harga asli 88k) 
15.FOCALLURE Pigment Waterproof Face Contour Concealer : 30k (harga asli 45k) 
16. FOCALLURE  BB Cream : 65k (harga asli 104k) 
17. FOCALLURE 18 Colours Pallete Eyeshadow : 120k ( harga asli 198k) 

Gimana Girls,  murahkan produk Focallurenya.  Kok murah sih sist?(wah) Aman engga nih? 100% Ori ya Girls, karena aku ambilnya langsung dari Chinanya jadi murah, aku sendiri aja pake loh. Ayo buruan pesen produk Focallurenya! Dijamin Tidak Menyesal! (sedih) 

PERIODE PO :  6 Agustus - 12 Agustus 2018
Barang sampai: kurang lebih 2 minggu setelah tanggal 12 Agustus 2018 ( Maklum langsung dari china ya!) 

(Circus Tent)COD daerah IPB Dramaga dan IPB Baranangsiang
Luar dari itu pengiriman Via JNE yaa! 

Ada Promo Khusus lagi nih:

(wah)Beli 3 Produk apa saja diskon 10k(berlaku kelipatan). 
(wah)Beli produk senilai 300k gratis ongkir 20k .

(ASAP)(ASAP)(ASAP)Ayo tunggu apalagi,  buruan pesen sekarang juga!!(ASAP)(ASAP)(ASAP)

Detail&informasi barang silakan PC ya. 

(line)beatlefreaks
wa: 08164640552",0,@krismandyawardani8545,po focallure ori china hey girl girl brand focallure hist banget review beautyvloger loh eyeshadownya pigmented banget open po banget produk focallure ets takut harga girl jamin murah banget focallure shades full function pallete twilight k harga asli k focallur palette blush on highligther color k harga asli k focallur makeup powder k harga asli k focallure eyebrow pencil waterproof k harga asli k focallure shimmer bronzer highlighters powder k harga asli k focallure new pressed makeup powder k harga asli k focallure makeup mate liquid lipstik k k focallure face highlighter stick k k focallure palet blush on k harga asli k focallure triple lip crayon k harga asli k focallure stick concealer k harga asli k focallure colours shimmer matte pigment gliter k k focallure colours eyeshadow palette glamorous smokey k harga asli k focallure mascara volume express k harga asli k focallure pigment waterproof face contour concealer k harga asli k focallure bb cream k harga asli k focallure colours pallete eyeshadow k harga asli k gimana girls murah produk focallurenya murah sih sist aman engga ori ya girls ambil langsung chinanya murah pakai loh ayo buru sen produk focallurenya jamin sesal sedih periode po agustus agustus barang minggu tanggal agustus maklum langsung china ya circus tent cod daerah ipb dramaga ipb baranangsiang kirim via jne ya promo khusus beli produk diskon k laku kelipat beli produk nila k gratis ongkir k asap asap asap ayo tunggu buru sen asap asap asap detail informasi barang sila pc ya line beatlefreaks wa
Cek olshop ig @belangibeauty.store aku beli disituu,0,@hongkitaemin,cek online shop ig store beli disituu
"Artisan sis, atau ardell",0,@hongkitaemin,artisan sis ardell
Sumpah cantikkk bngt SUBHANALLAH .... 💞💞💞,0,@ronirahma7430,sumpah cantik banget subhanallah
Racun bgt kaaaa 😍,0,@Jienamorolls,racun banget kak
harga segitu jg mahal kak. buat aku yg uangnya gak berlebih,0,@nianazariah9501,harga segitu mahal kak uang lebih
"kak tasya, itu kalo aku totalin smw produk make up yg kk pake, totalnya tembus 1,1 jt'an wkwk",0,@imnitami,kak tasya totalin smw produk make up kak pakai total tembus jt an tertawa
That foundation is too light,0,@diafariha770,that foundation is too light
Ketika lagi nonton tasya dan muncul iklan tasya,0,@aslnabb125,nonton tasya muncul iklan tasya
Kaya pake behel deh iya ga sii,0,@evaarianti5806,kaya pakai behel deh iya sii
Sy suka banget sama matanya 😍😍,0,@fye-4y,suka banget mata
Summmpahhhh😗😗😍😍😍cantiknya,0,@ranifulkarisma7157,sumpah cantik
"Apa cm aq aja yah yg malah fokus ama tasya nya bukan ama produk yg di bahasx 😁 
Aq terpukau wajah bulenya,,, km asli bule atau gmna ? Kok fasih bnget ama bhs indo,, maaf soalx aq baru aja pertama nonton vlog km",0,@noerimam6367,cm yah fokus ama tasya nya ama produk bahasx pukau wajah bule km asli bule gmna fasih bnget ama bhs indo maaf soalx nonton vlog km
Untuk kakak2 yang nyari produk focallure di sy ada silahkan WA.082120385370  IG.focallure189  web.www.fashionratna.com,0,@aryanurhakim4,kakak nyari produk focallure silah wa ig focallure web
izin share kakak cantik..,0,@aryanurhakim4,izin share kakak cantik
"kemahalan itu harganya , padahal aslinya lebih murah parah 😥😥",0,@nonamardiana8380,mahal harga asli murah parah
"""Dia ga kaya batu kerasnya"" 😂 wkwkwkwkwkwkwk ngakak kak",1,@Cherishyoongi,kaya batu keras wkwkwkwkwkwkwk tertawa kak
Omg iklan ya asli serius keren,0,@ruslilubis6609,ya ampun iklan ya asli serius keren
Ka itu kliatan putih bgt gak sih kliatannya?,0,@Ndaandroy,kak kliatan putih banget sih kliatannya
Belajar? Belajar apa kak?,0,@AlifaIzzatii,ajar ajar kak
Cek ig olshop aku @felanckll aku jual focallure original lg promo loh,0,@melaniano,cek ig online shop jual focallure original lg promo loh
Kak minta hylyter rainbow nya dong,0,@enyistiana4977,kak hylyter rainbow nya
Kak bkin video make up with kak tasyi dong,0,@diantiputri3981,kak bkin video make up with kak tasyi
"Kok kaya bencis kak:v
Mukanya keliatan strong banget 😭😭",0,@devits1416,kaya bencis kak v muka liat strong banget
Bagusan mana kak sama make over?,0,@rianirfan4141,bagus kak make over
Mirip dualipa :),0,@el5052,dualipa
"Aku beli di shope lebih murah kak kaya loosebpowder cuma 29rb pengiriman cuma 10rb dari china langsung, ini produk dari china asli kak",0,@nanamardiantina2361,beli shope murah kak kaya loosebpowder rb kirim rb china langsung produk china asli kak
Lightnya terlalu terang atau shadenya ga match yaa.😅,0,@Miaww1x1,lightnya terang shadenya match ya
"""Beliin semua keluarga kalian"" 😂😂",0,@Azzahrahrhp,beliin keluarga
"Eyeshedow yg palet 18 Warna, bagus bgt kak 😃😃",0,@dhiyahimuet4256,eyeshedow palet warna bagus banget kak
"kalo ka tasya lg liat kebawah, sekilad mirip dua lipa😂",0,@mutiarasalmaa,kak tasya lg lihat bawah sekilad lipa
Ka tasya eyebrown nya enakan yg matic apa gel?,0,@ambarirda3307,kak tasya eyebrown nya enak matic gel
collab suhayy salimm nya please...d tngguu bngett.....😭😭😭,0,@clarafelisyamikaila851,collab suhayy salimm nya please d tngguu bngett
FOCALLURE MURAH SEINSTAGRAM @focallure_jakarta banyak giveawayyyyy,0,@BirruTarigan,focallure murah seinstagram giveaway
Beauty blender tasyaa brapa hrga nyaa yaaaa,0,@bundashafiraofficial938,beauty blender tasyaa brapa hrga nyaa ya
Racun lo sya hahaha,0,@maulidinairfania5492,racun lo sya tertawa
Seneng liat dy heboh sendiri..  Pake bodyshop sihh... Bgus kok.. Hee krna cuma it yg aman d muka aku hiksss,0,@drnikeseptembriana8335,neng lihat dy heboh pakai bodyshop sihh bgus hee krna it aman d muka hiks
Aku langsung belii woyyyyyy,0,@vanyagn6139,langsung beli woy
thumbnail nyaaaaa mirip dua lipaaaaaa❤❤,2,@syadelily,thumbnail nya lipa
Girl ur face is way too white,0,@crystal0338,girl ur face is way too white
"Bikin video sm kembaran dong.. Atau sm keponakan, atau sm abang ipar😁",0,@melindagresia7542,bikin video kembar keponakan abang ipar
Mampir dong ke channel aku Dan jangan lupa subscribe,0,@fadilladilla4952,mampir channel lupa subscribe
Kak Tasya jangan terlalu baik ada yang kak Tasya bilang bagus tapi menurut aku jelek,0,@Dpniiieee,kak tasya kak tasya bilang bagus jelek
Kak Tasya beli focallore nya di cc aku aja @ladylipstickque,0,@Dpniiieee,kak tasya beli focallore nya cc
