comment_raw,comment_preprocessing,label_sentimen
Kak pemenang giveaway yg makeup #horangkaya.      Itu pemenangnya siapa,kak menang giveaway makeup menang,netral
"Aku sudah cobaaa....
https://youtu.be/vvurxBGh3YE",coba,netral
Misswaiting.id di shopee yg suka jualan focallure itu ori ga sih?,misswaiting id shopee suka jual focallure ori sih,positif
Ka bikin one brand mekeup L. A grli,kak bikin one brand mekeup l a grli,netral
aku jual foundationnya focallure cuma 50rb wkwk,jual foundationnya focallure rb tertawa,netral
What language is this..,what language is this,netral
mirip dua lipa kak😁,lipa kak,netral
Ka toutor one brand makeup dari Ranee dong ka,kak toutor one brand makeup ranee kak,netral
Kak. Foundationnya kalau dipakai foto bakalan whitecast ngga? Jawab please!! 🙏,kak foundationnya pakai foto whitecast please,netral
"Kak, hrus banget nyobain product O.Two.O
Bikin one brand tutorial make up donk..",kak hrus banget nyobain product o two o bikin one brand tutorial make up donk,netral
"laaah bulan lalu aku beli disini 4 item under 100 rebuuu coba.
COD nunggu ampe 3 minggu krna dri cina. 
tapi pas aku coba pke bgus sih beneran, longlast lagi.
tpi gatau asli apa kaganya yakk yg pasti bagus ajaaa😂😂",beli item under rebu coba cod nunggu ampe minggu krna dri cina pas coba pakai bgus sih beneran longlast tpi gatau asli kaganya yakk bagus,positif
aku pakai 2 produk ini ♡,pakai produk,netral
"""Ini aku gak bercanda, ini serius, ini URGENT!"" Ngakak 😂😂",canda serius urgent tertawa,netral
"Yang mau beli focallure dijamin ori dan harganya termurah (dijamin) bisa langsung cek ig aku kak yaa : @jastipfocallure_id @jastipfocallure_id
Wa: 082298243331
Line: ridhaanzani",beli focallure jamin ori harga murah jamin langsung cek ig kak ya wa line ridhaanzani,positif
"Hi which language are you speaking? I am very good at recognizing languages, but I didn’t come up the language you speak. Btw your cute ☺️❤️",hi which language are you speaking i am very good at recognizing languages but i didn t come up the language you speak ngomong-ngomong your cute,netral
Diapain jg cantik,diapain cantik,positif
"Harganya ga beda jauh sm wardah&catrice 😅😅😅
Di shopee harganya  lbh murah dr video  , 
Mungkin karna yg beli artis jd di mahalin sm yg jual",harga beda wardah catrice shopee harga lbh murah video beli artis mahalin jual,negatif
James Charles meme happen to you tashh just realize😂,james charles meme happen to you tashh just realize,netral
"Mau manyun mau kayang teteup cantik aja nih :""",manyun kayang teteup cantik,positif
"Sya,, bagi daftar product make up focallure lengkap buat blajar make up dong yang wajib punya buat praktek,, please",sya daftar product make up focallure lengkap blajar make up wajib praktek please,netral
Kak tasya coba donk make up ala korea korea gituu,kak tasya coba donk make up ala korea korea gituu,netral
"Aku nonton lagi dong kak, padahal ini video udah setahun lalu🙈",nonton kak video tahun,netral
Ka  gila nya,kak gila nya,netral
lebihh cantik maniiss.. kl ga make up ..,lebihh cantik maniiss kl make up,positif
Belinya dimana kaa???,beli mana kak,positif
"follow ig zazaa.shop disana ada jual produk focallure!
harganya lebih muraah",follow ig zazaa shop sana jual produk focallure harga muraah,netral
Ihh parah kakak cantik banget parah parah parh padahalmekeup nya murah gak sampek aeratus ribu aku bilang mama aku biar mama ku beli produk focalure asyik nih,ihh parah kakak cantik banget parah parah parh padahalmekeup nya murah sampek aeratus ribu bilang mama biar mama ku beli produk focalure asyik,positif
wow ceunah 😆,wow ceunah,netral
aku suka  makeup nya cantik  karna kamu udah cantik,suka makeup nya cantik cantik,positif
thnx,thnx,netral
Racun parah,racun parah,positif
Aku juga suka banget focallure😍😍😍,suka banget focallure,positif
This is bahasa indonesia,this is bahasa indonesia,netral
icha salsabilla okeei thank you for answering me ☺️,icha salsabilla okeei thank you for answering me,netral
keterangan cahaya....!😅,terang cahaya,netral
Videonya ngeracuni aku buat beli. Hmmm,video ngeracuni beli hm,positif
Wkwk sebagus itu ye sya. Dan akhernya udh k pabriknye yaaa dirimuh,tertawa bagus ye sya akhernya k pabriknye ya dirimuh,positif
Ya iyalah ini kan produk jualan kamu,ya iya produk jual,netral
Putih bngt mukanya beda dgn lehernya wkwkw,putih banget muka beda leher wkwkw,netral
Kak aku liat di shopee focallure ada yg murah bgt...katanya bs semurah itu krna dr cina langsung...tp ada jg yg bilang kalo yg murah bgt itu kw nya...please dong jelasiiinnnnnn.....,kak lihat shopee focallure murah banget bs murah krna cina langsung bilang murah banget kw nya please jelasin,positif
"I placed a big order on Focallure, they didn't send it, so i asked for a refund. When they receive my request, they immediatly sent the order, but they send it wrong, so i couldn't receive it. They sent my order in 3 different packages, without 3 invoices for each part of the order. And without the invoice, i couldn't pay our taxes, so i couldn't pick it up, it was paid from my company. Now they received back my order, and also have my money, and refuse to refund me for my paid and lost amount! I really don't recommend Focallure!!!!",i placed a big order on focallure they didn t send it so i asked for a refund when they receive my request they immediatly sent the order but they send it wrong so i couldn t receive it they sent my order in different packages without invoices for each part of the order and without the invoice i couldn t pay our taxes so i couldn t pick it up it was paid from my company now they received back my order and also have my money and refuse to refund me for my paid and lost amount i really don t recommend focallure,netral
"Kk di setiap vidio kk,  kalo menurutku yang ini cantik bett 😍😍😍",kak vidio kak turut cantik bett,positif
Focallure itu made in china,focallure made in china,netral
FOCALLURE INI HALAL GA?,focallure halal,netral
"“ sumpah ini bagus loh ,ini produk apasi kok murah banget ya “ haha lol",sumpah bagus loh produk apas murah banget ya tertawa lol,positif
cocok bgt buat ke acara nikahan tu kak...,cocok banget acara nikah tu kak,netral
wowww ni msih terlaluuu terang ya😂😂😂,wow ni msih terang ya,netral
Kak tasya itu cahaya kameranya atau fondition nya yang keputihan ya,kak tasya cahaya kamera fondition nya putih ya,negatif
Auto beli ni ka wkk,auto beli ni kak wkk,positif
kak kok keputihan ya foundie nya 😂,kak putih ya foundie nya,negatif
Kak di @ladylipstickque lebih murah kak,kak murah kak,positif
Yg baru nonton 2018????,nonton,netral
"Dari ketidaktahuan focallure dari mna, sekarang mau collab buat makeup bareng sama Fpcallure:''')",ketidaktahuan focallure mna collab makeup bareng fpcallure,netral
"gamau banyak komentar, tapi ngomong mulu:( huh untung cantikkk",gamau komentar ngomong mulu huh untung cantik,positif
"Jgn julid deh,😂",jgn julid deh,netral
Cantik bngt kaa,cantik banget kak,positif
Aku kaget karna keputihan tapi nonton sampai habis kenapa kecantikan 😂,kaget putih nonton habis cantik,negatif
Agak silau gitu kan jg kak tasya putih di tambah foundisyen heheh,silau kak tasya putih foundisyen heheh,netral
Makasih sudah recomended buat seserahan yg overall murah. 😚😚,terima kasih recomended serah overall murah,positif
Make up ala amerika gtu,make up ala amerika gtu,netral
Focallure di taiwan lbh mrh lg kk,focallure taiwan lbh mrh lg kak,netral
Mau kemana si makeup nya semua bold banget.. Gada yg santuy.. Santuy napaa,mana si makeup nya bold banget gada santuy santuy napaa,netral
lehernya ngapaing nggak di foundation,leher ngapaing foundation,netral
"mmg focalure produk import bagus banget ,  dan sya pemakai produk ini dan mnjualnyaa . jika ada yg minat followme @prilaprilprile harga di jamin di bawah 100.000",mmg focalure produk import bagus banget sya pakai produk mnjualnyaa minat followme harga jamin,positif
pengen beli😁,beli,positif
Kaya dua lipa 😀😀,kaya lipa,netral
cantik batt awlloo,cantik batt awlloo,positif
TIM 2018 NONTON 2KALI,tim nonton kali,netral
"Aku udah coba highlighter n blush on nya kak emg bner""bagus banget..
Temen""pada nanya harganya brp ps aku kasih tau pada gk percya
Hhh
Ketagiahan pngen beli yg lainnya lagi dr focallure",coba highlighter n blush on nya kak emg bner bagus banget temen nanya harga brp ps kasih percya h ketagiahan pngen beli focallure,positif
Cinta eyeshadow nya 😂,cinta eyeshadow nya,positif
Gara2 video ini dunia jadi tau focallure wkwk,gara video dunia focallure tertawa,netral
Maybelline push up drama kalo kak soalnya aku juga beli yang terbaru itu,maybelline push up drama kak beli baru,positif
ka focallur ada kw nya apa gak ya,kak focallur kw nya ya,netral
"Taraaaa akhir ea ada juga yng tutorial pake focallure
Aq makeup'n pngntin pke nya ini ok bngt",tara ea yng tutorial pakai focallure makeup n pngntin pakai nya ok banget,netral
Pas kak tasya bilang jam 12 malem aku refleks langsung liat jam juga dan ternyata 30 menitan lagi jam 12 malem coy 😂 kok agak horor ya 😆,pas kak tasya bilang jam malem refleks langsung lihat jam menit jam malem coy horor ya,netral
Make up.pengantin pake ini semua apa ada yg mix mbk,make up pengantin pakai mix mbk,netral
Klo mw beli focallure tu dmna sih... yg sekiranya asli... kok aku liat d olshop bayak yg harganya ga masuk akal gt... kyk 20rb tkut nya bodong,mw beli focallure tu dmna sih asli lihat d online shop bayak harga masuk akal gt kyk rb tkut nya bodong,positif
Gaea gara video ini aku jadi borong produk focallure d shopee,gaea gara video borong produk focallure d shopee,positif
udh kek pake kamera hp xiaomi,kek pakai kamera hp xiaomi,netral
Sukak deh sama tutorialnya...pake banget malahh..😍😍,sukak deh tutorial pakai banget malahh,positif
2018 masih worth it??😂😂😂,worth it,positif
"Maaf makeupnya bagus tp untuk yg suka makeup jangan lupa lehernya jg biar ga beda
Warna muka dan leher kalo di poto belang maaf ya",maaf makeupnya bagus suka makeup lupa leher biar beda warna muka leher poto belang maaf ya,positif
"ada yg sudh beli focallur?  hrgnya lbih murah dri ka tasya ngga.  soalnya liat di shopee bnr"" murah bgt jauh sma yg ka tasya sbutin tdii. orii ga yaa",sudh beli focallur hrgnya lbih murah dri kak tasya lihat shopee bnr murah banget sma kak tasya sbutin tdii orii ya,positif
dan akhirnya sekarang ka Tasya bsa ke pabriknya langsung,kak tasya bsa pabrik langsung,netral
Yang katanya focallure abu2 bener gak sih?,focallure abu bener sih,netral
"bagus sih ka tapi di itung""semuanya 1,115 😂😂😂",bagus sih kak itung,positif
wah gilaseeeeh dari dulu2 udah sering liat focallure di shopee cuma takut bgt belinya gara2 shock aja ada makeup semurah2 ituuu wwkw sekarang ngeliat hasilnya bagus gile cuyyy jadi pengen beliiii wkwkwk,gilaseh lihat focallure shopee takut banget beli gara shock makeup murah wwkw hasil bagus gile cuy beli tertawa,positif
"Tanya dong, kalo focallure yg po dari china tuh beneran ori apa fake ya? 
Soalnya di shopee murah2 banget, foundation cuma 30 rb an 😱
Jawab dong yg tau",focallure po china tuh beneran ori fake ya shopee murah banget foundation rb an,positif
"Nonton video tasya aku jdi Pengen banget beli semua produk focalure,,
Tasya keren banget make upx
Jdi tambah ngefans dah,, 😘😘😘😘😘😘😘😘",nonton video tasya jdi banget beli produk focalure tasya keren banget make upx jdi ngefans dah,positif
"Cantiikk????
Ka cara mekup kulit saomatang  gimana yahhh????",cantiikk kak mekup kulit saomatang gimana yah,netral
Dan akhirnya CEO Focallure langsung kaya raya sekejap setelah video ini diupload 😂😂,ceo focallure langsung kaya raya kejap video diupload,netral
Kak plis bikin makeup set,kak plis bikin makeup set,netral
Harga makeup foccalure lengkap cuma habis 400ribuan kak.. aku baru aja beli😂,harga makeup foccalure lengkap habis ribu kak beli,positif
"ka lightingnya keterangan deh,jadi gajelas aku liat pas di aplikasiin ke wajahnya",kak lightingnya terang deh gajelas lihat pas aplikasiin wajah,netral
Ka coba pake peroduk oriflame ka,kak coba pakai peroduk oriflame kak,netral
Suka banget ngeliat video ini berulang ulang krn reaksi kk tasya 😁😁,suka banget video ulang ulang reaksi kak tasya,positif
Leny Agustus 20 ribu itu apa sis? Focallure memang harganya trjangkau loh,leny agustus ribu sis focallure harga trjangkau loh,netral
Beli di website nya ajja langsung,beli website nya ajja langsung,positif
"Baru liat video ini wkwk.😭😭 Dan langsung beli focallure, banyak bgt cuma habis 500rb an, murah bgt😭😭😭 racun kak😭😭😭😭😭",lihat video tertawa langsung beli focallure banget habis rb an murah banget racun kak,positif
"Focallure skrng udh dijual di c&f botani square,  bogor",focallure skrng jual c f botani square bogor,netral
"Kalau udh gak kepake bisalah d ksih aja sma yg membutuhkan,  drpada nnt mubazir,  gua yakin bnget klau ka tasya pnya bnyak kosmetik 🤣🤣🤣🤣🤣😂",kepake bisa d ksih sma butuh drpada nnt mubazir gua bnget klau kak tasya pnya bnyak kosmetik,netral
"kak, di menit 9:08 ""eyeshadow yg dibilang bagus sebelum2 ini, lewat semuanya"" , tapi daily ttp pake merk lain yg lebih mahal diatas focallure atau focallure yg dikata bagus banget, tp murah ?",kak menit eyeshadow bilang bagus daily ttp pakai merk mahal atas focallure focallure kata bagus banget murah,negatif
Aku baru tahu kalau consealer mamah aku brand focallure,consealer mamah brand focallure,netral
cuwantikkkk😍😍😍😍,cuwantik,netral
Di shopee murah masaa:(,shopee murah masaa,positif
Aku bli fondi ny 30k,bli fondi ny k,netral
aku bli di shofee .  murah murah bngt .  lebih murah dr tasya sebutkan,bli shofee murah murah banget murah tasya sebut,positif
"mirip bella swan ,di film twilught",bella swan film twilught,netral
cek instagram @leni_homeshop kak jual focallure,cek instagram kak jual focallure,netral
"Hai semua.... Cek website nshop25.com 
Banyak produk focallure yang lgi diskon lho 😍",hai cek website nshop com produk focallure lgi diskon lho,netral
kak behel nya bisa di lepas gaaj,kak behel nya lepas gaaj,netral
"Ok produk nya bagus, tapi ketahanan nya gimana tas?
Test dong",ok produk nya bagus tahan nya gimana tas test,positif
Aku gak bilang ini semua rekomended tapi ini semua rekomended 😂😂😂,bilang rekomended rekomended,positif
"Halal ga, yaaa ?? At least ada logo halal MUI (Indonesia) atau halalnya MUI (International), ga ??",halal ya at least logo halal mui indonesia halal mui international,netral
2018 kak.. Mna suaranya yg lain🙋🙋🙋,kak mna suara,netral
"Kamu cantik biar gak make up. Tp Sya...review produk kita ding....coz dari pada ngelakuin produk  china, knp gak pake produk kita aja yg aman dan jelas halal.",cantik biar make up sya review produk ding coz ngelakuin produk china knp pakai produk aman halal,positif
"Ka kebanyakan ngomong😂😂 tapi mantaps ka, aku juga pake focallure harganya terjangkau🤗🤗",kak banyak ngomong mantaps kak pakai focallure harga jangkau,positif
Review produknyah oriflame dong kak tasya..yg giordani gold atau the one nya gitu ..pengen tau hasilnya kakak,review produknyah oriflame kak tasya giordani gold the one nya hasil kakak,netral
"@iqbal indradinata di Shopee Banyak yg jual😁😁 aku 500rb dapet bedak padat, loose powder, lipcream 2, concealer 2, foundie 2, pensil alis, blush on 2, eyeshadow,primer,set brush sama beauty blender 😆😆😆",indradinata shopee jual rb bedak padat loose powder lipcream concealer foundie pensil alis blush on eyeshadow primer set brush beauty blender,netral
Aku jual ka silahkan yg mau bisa cht 085711675131 kalau gak cek fbku Deti rojabiyah,jual kak silah cht cek fbku deti rojabiyah,netral
http://bit.ly/2RXgTe2 use this link to get discount from Focallure.com,use this link to get discount from focallure com,netral
"Ko terang bgt sih kak 
Jadinya terlalu putih mukanya",ko terang banget sih kak putih muka,netral
PIG MAN,pig man,netral
Ka terlalu banyak ngomong jadi ga fokusss,kak ngomong fokus,netral
endorse geto loh..,endorse geto loh,negatif
Punyaku yg shade no.3 sm no.4 rata2 😂😂😂,punya shade no no,netral
pake bulu mata palsu kak🤣,pakai bulu mata palsu kak,netral
Tipe make up andalan orang arab..,tipe make up andal orang arab,netral
Ini channel beuty atau lawak sih kakk .. ngakak beut dah 😁,channel beuty lawak sih kakk tertawa beut dah,netral
"Lebih murah kalo beli dishopee ka, barangnya dikirim dr cina langsung haha cucok meong bagi yg mau makeupan harga merakyat💜",murah beli dishopee kak barang kirim cina langsung tertawa cucok meong makeupan harga rakyat,positif
"Ka tasya diapa2inn ttp cantikk
❤💏💏",kak tasya apa inn ttp cantikk,positif
"Gw sering nonton beauty vlogger, tp gada yg buat gw nonton sambil ngakal so hard kaya channelnya tasya, udah cantik, hiperaktif pula 🤣 tp sumpah gw suka bgt m tasya farasha 😍",nonton beauty vlogger gada nonton ngakal so hard kaya channelnya tasya cantik hiperaktif sumpah suka banget m tasya farasha,positif
Kakak cantik banget,kakak cantik banget,positif
Aq beli brang dirim dri china harga lbih murah hmpir separonya,beli brang rim dri china harga lbih murah hmpir paro,positif
Emang parah focalur eyeshadow tropical wuiiiiih.... Pigmetd......,parah focalur eyeshadow tropical wuih pigmetd,netral
"Kak tasya nanya di detik 4.32 "" ini produk apa sih"" kan kak tasya yg review masa gk tau itu produk apa wkwk 
Hanya bercanda yaa kak 🙏",kak tasya nanya detik produk sih kak tasya review produk tertawa canda ya kak,netral
"Serius aku kemren juga liat"" di aplikasi perbelanjaan dan dikirim dari luar negri tapi harganya murah"" sempet gak percaya kalok bagus. But aku liat youtube kaka kok kliatan bagus jadi pengen beli jugaa😍😍",serius kemren lihat aplikasi belanja kirim negri harga murah sempet percaya kalok bagus but lihat youtube kaka kliatan bagus beli jugaa,positif
Overlight,overlight,netral
Ini mbuktikn klau cantik itu ga harus mahal. 😊😊.,mbuktikn klau cantik mahal,negatif
"Kak kok aku nyobain ga cocok d muka aku malah lose powdernya, lipcream nya lengket bgt :(",kak nyobain cocok d muka lose powdernya lipcream nya lengket banget,negatif
"Kak kok aku nyobain ga cocok d muka aku malah lose powdernya, lipcream nya lengket bgt :(",kak nyobain cocok d muka lose powdernya lipcream nya lengket banget,negatif
Itu foundation nya keputihan ato lightingnya keputihan? :(,foundation nya putih ato lightingnya putih,negatif
Cocok gak sii buat kulit berminyak?,cocok sii kulit minyak,netral
Ku menyesal baru melihat video ini :( knp g dari dulu gt,ku sesal video knp g gt,netral
Gw baru beli focallure ultra chic lips yg 07. Sumpah gw suka bgt warnanya.,beli focallure ultra chic lips sumpah suka banget warna,positif
Foundation foccalure 95rb!! Mahal bgt! Aku beli di malaysia kynya ga nyampe 30rb dan itu ori,foundation foccalure rb mahal banget beli malaysia kynya nyampe rb ori,negatif
Aaaaaaaww 😍😍😍😍,aww,netral
"Selalu nonton,,,  suka bgt,,, cantik bgt kk",nonton suka banget cantik banget kak,positif
Keren cantik loooo,keren cantik lo,positif
kayanya  terlalu silaw 😂🙏,kaya silaw,netral
gue ga ngerti lagi lu cantik banget kakkkkkk,ngerti lu cantik banget kak,positif
"Gue nyari komen total harga, pusing scroll gk nemu2 akhirnya ngitung sndiri,.😂",nyari komen total harga pusing scroll nemu ngitung sndiri,netral
Keren bgt 👍🏻 q pake juga kak...,keren banget q pakai kak,positif
"hallo ka tasya farasya, aku udah tonton video kaka nge-review tentang prodak focallure wah murah murah ya ka 😍 tapi ada juga loh ka prodak flormar kalo ga salah brand itali dia murah murah juga loh ka, aku liat ada eyebrow berbentuk spidol dari flormar , review dong ka cara gunain prodak eyebrow itu aku mau tau caranya 😂",hallo kak tasya farasya tonton video kaka nge review prodak focallure murah murah ya kak loh kak prodak flormar salah brand itali murah murah loh kak lihat eyebrow bentuk spidol flormar review kak gunain prodak eyebrow,positif
Otw semua produk make up ku focallure😍,jalan produk make up ku focallure,netral
Kek orang barat 😂 cantik kali 😊,kek orang barat cantik kali,positif
"Kak, Focallure tahannya kira2 brapa lama yah? Dan cocok untuk makeup mua gak?",kak focallure tahan brapa yah cocok makeup mua,netral
"Makasih ya...rekomen tuk prodak yg bagus donk,",terima kasih ya rekomen tuk prodak bagus donk,positif
Bingung gkbisa makeknya 😄😄😄😁😁😁 biasanya cm bedakan doang,bingung gkbisa makeknya cm beda doang,netral
Tasya ceria farasya,tasya ceria farasya,netral
cantiknya kak tasyaa😍😍,cantik kak tasyaa,positif
Kak aku beli online dari cina lebih murah foundation cuma 34ribu loose powder juga cuma 25ribu,kak beli online cina murah foundation ribu loose powder ribu,positif
sekilas mirip avril  lavigne,kilas avril lavigne,netral
Halal ga? Dr cina soalnya,halal cina,netral
"Setelah berkali-kali nonton video ini akhirnya q keracunan dan malah jadi jualan produk"" dari focallure
Cek ig @safar_shop_
Maaf malah numpang promo ka tasya 
#racunfarasya",kali kali nonton video q racun jual produk focallure cek ig maaf numpang promo kak tasya,positif
kak klok kita pakek fondation warnanya lebih cerah dari mu kita apa samain aja sama warna kulit kita plis butuh respon kk,kak klok pakek fondation warna cerah mu samain warna kulit plis butuh respon kak,netral
bagus,bagus,positif
"Kak tasya, kalok pake highlighter tanpa fondation atau base make up lainnya bisa gk kak? Soalnya wajah sensitif gak bisa kaya kak tasya yg full coverage gtu. Tolong sarannya ya kak.",kak tasya kalok pakai highlighter fondation base make up kak wajah sensitif kaya kak tasya full coverage gtu tolong saran ya kak,netral
"Setting lighting nya terlalu lebay 
Jadi gk keliatan pas dia nunjukin make up nya ke kamera nya 
Mungkin ring light nya terlalu terang kli yahhhh maybe",setting lighting nya lebay liat pas nunjukin make up nya kamera nya ring light nya terang kli yah maybe,netral
Jd pengen beli produknyaa kaka udh ngeracunin gtu pake produknya yaa ampuuun..,beli produknyaa kaka ngeracunin gtu pakai produk ya ampun,positif
kak aq blh nnyak ndak itu prodak apa aja yg hrs di bli,kak blh nnyak ndak prodak hrs bli,netral
mirip bu ala bgt kak,bu ala banget kak,netral
aduhh kepala gw sakit...karna Racun...kaya ada Bisik Bisikan #BELITUMAKEUP#😨,aduhh kepala sakit racun kaya bisik bisik,positif
Aku suka focallure harganya mumer juga 25rbuann💖💖💖,suka focallure harga mumer rbuann,positif
Masuuk pak eko 😍😍,masuuk eko,netral
Jadi galau sumpah pingin coba brand make over atau brand focallure ini.🤕,galau sumpah pingin coba brand make over brand focallure,netral
Aku gamau banyak omong 😄,gamau omong,netral
GILAAA MURAH BGTT!! 😩😭,gila murah banget,positif
jadi inget bioaqua yg copycat skinaqua,inget bioaqua copycat skinaqua,netral
gara2  dek tasya blg eyeshadownya bagus... saya jd beli langsung wagelaseh... racun syekalee hey... gak sabar nunggu paket uwuwuwu,gara dek tasya blg eyeshadownya bagus beli langsung wagelaseh racun syekalee hey sabar nunggu paket uwuwuwu,positif
"""Pengen jd ownernya focallure"" 
Ya bisa aja lah sya 😂",ownernya focallure ya sya,netral
Lengkap sudah aku beli produk focallure.. gara2 racun dunia ini.. wkwkwkwkwkw..,lengkap beli produk focallure gara racun dunia wkwkwkwkwkw,positif
"Di shopee focallur harganya lebih murah dibanding kk tasya sebutin, tapi emng bagus produknnya",shopee focallur harga murah banding kak tasya sebutin emng bagus produknnya,positif
Eyeshadow palette nya focallure daebak,eyeshadow palette nya focallure daebak,netral
RACUUUUUUN PARAHHHH,racun parah,netral
itu kakak pke bulu mata apa gk ya??,kakak pakai bulu mata ya,netral
Itu TAHAN LAMA GAK YA KAK?????? TOLONG DI JAWAB SOAL NY MAU BELIIIIIII,tahan ya kak tolong ny beli,positif
Mau tanyaa ini produk focalur endors dari produsen focalur atau ka tasya beli ya soalnya aku mau buat skripsi mengenai video ini trimakasih yg tau mohon bantu jawab ya 😊,tanyaa produk focalur endors produsen focalur kak tasya beli ya skripsi video trimakasih mohon bantu ya,positif
Gw ga demen bgt ngeliat muka nih cewe. Kata gw mah mukanya serem kyk vampire. 😬,demen banget muka cewe mah muka rem kyk vampire,netral
Cantik sih cantik tapi tebelnya minta ampun,cantik sih cantik tebelnya ampun,positif
Pernah kena tipu beli on9???,kena tipu beli on,positif
"Jam 12 ku nonton ini gara2 lihat snap kamu,gilakkkk sukaaa bangetttt ❤️❤️❤️❤️",jam ku nonton gara lihat snap gilak suka banget,positif
"Teramat sangat racun pake banget2 sampai2 di online shop gw selalu nyari produc2 focallure terus menerus di karenakan gw melihat Barbie farasya pake produc focallure.... Dan gw teracuni, dan gw kefikiran terus menerus saat gw blm beli, dan skrng ahirnya gw beli juga lroduc focallurenya ,  kalaupun barangy blm sampe hahaha",amat racun pakai banget online shop nyari produc focallure terus karena barbie farasya pakai produc focallure racun kefikiran terus beli skrng ahirnya beli lroduc focallurenya barangy tertawa,positif
"Ka tasya aq pake fondation focalur tp bedak tabur marck sm bedak padat wardah... tp klo keringetan kp retak2 yah? Jadi kaya nimbul gitu dempulan.a.. oudor jg pecah2 gitu ...di tap pelan pake tisu krn kringetan eh luntur😅 jd hilang gitu...pdhal dh pke seting spray mineral botanica... 
Salah dmn y ka? Solusinya donk😭",kak tasya pakai fondation focalur bedak tabur marck bedak padat wardah keringetan kp retak yah kaya nimbul dempul a oudor pecah tap pelan pakai tisu kringetan eh luntur hilang pdhal dh pakai ting spray mineral botanica salah dmn y kak solusi donk,netral
kok jadi mirip sama dualipa yaa,dualipa ya,netral
Dan sial nya gw nonton vidio ini mesti jam 12an 😑,sial nya nonton vidio mesti jam an,netral
beli dmna ka?,beli dmna kak,positif
Cek olshop ig @belangibeauty.store,cek online shop ig store,netral
"aaa telat aku tonton nya,  dan ga nyesel aku beli set focallure. ternyata ka tasya sukaaaa....... hahhaa hubungan nya apa 😂",a telat tonton nya nyesel beli set focallure kak tasya suka hahhaa hubung nya,positif
Katasyaa foundation focallur itu full coverage ga??,katasyaa foundation focallur full coverage,netral
Yang mau beli all product FOCALLURE 💯 ORI bisa WA: 085778612112,beli all product focallure ori wa,positif
Mmng asli cantik Non Tasya...😘😘😘,mmng asli cantik non tasya,positif
"❤❤❤selamat datang di toko kami ,kami jual produk focallure termurah.❤❤❤
❤❤https://shopee.co.id/shop/69014697/❤❤",selamat toko jual produk focallure murah,positif
Kak Tasya itu beli dimana,kak tasya beli mana,positif
Hah jam 12mlm hih.........   Tatut 😮😮😮😮😮,hah jam mlm hih tatut,netral
Kak perasaan aku keputihan 😅😅😅,kak asa putih,negatif
kami jual 100% ori produk focallure   https://shopee.co.id/shop/83032808/    selamat datang toko kami.terima reseller dan dropship.,jual ori produk focallure selamat toko terima reseller dropship,netral
cansssss😍😍😍,cans,netral
"Apa cuma gw yg gak bosen nonton ini?
Waktu pertama kali tau focallure ya dari kak Tasya wkwkwkwk",bosen nonton kali focallure ya kak tasya wkwkwkwk,netral
"Akhirnyaaa, aku emang syuka banget sama eye shadow focallure 😍",syuka banget eye shadow focallure,netral
"amazing cantik bgt. .

Subscribe my happy vlog",amazing cantik banget subscribe my happy vlog,positif
Tasya tolong rekomendasi kan bulu mata lokal yang bagus untuk full make up,tasya tolong rekomendasi bulu mata lokal bagus full make up,positif
"aku gamau terlalu ngomong, tapi tetep aja ya kak , auto ngakak😂",gamau ngomong tetep ya kak auto tertawa,netral
dilarang gosip makeup kak 😆,larang gosip makeup kak,netral
Racunnya kenceng 😭😭,racun kenceng,positif
Ini tmn nya ricis bukan,tmn nya ricis,netral
