comment_raw,comment_preprocessing,label_sentimen,label,indobert_text
Aku kaget karna keputihan tapi nonton sampai habis kenapa kecantikan 😂,kaget putih nonton habis cantik,negatif,0,aku kaget karena keputihan tapi nonton sampai habis kenapa kecantikan
Agak silau gitu kan jg kak tasya putih di tambah foundisyen heheh,silau kak tasya putih foundisyen heheh,netral,1,agak silau begitu kan juga kak tasya putih di tambah foundisyen heheh
Makasih sudah recomended buat seserahan yg overall murah. 😚😚,terima kasih recomended serah overall murah,positif,2,terima kasih sudah recomended buat seserahan yang overall murah
Make up ala amerika gtu,make up ala amerika gtu,netral,1,make up ala amerika gtu
Focallure di taiwan lbh mrh lg kk,focallure taiwan lbh mrh lg kak,netral,1,focallure di taiwan lbh mrh lg kak
Mau kemana si makeup nya semua bold banget.. Gada yg santuy.. Santuy napaa,mana si makeup nya bold banget gada santuy santuy napaa,netral,1,mau kemana si makeup nya semua bold banget gada yang santuy santuy napaa
lehernya ngapaing nggak di foundation,leher ngapaing foundation,netral,1,lehernya ngapaing tidak di foundation
"mmg focalure produk import bagus banget ,  dan sya pemakai produk ini dan mnjualnyaa . jika ada yg minat followme @prilaprilprile harga di jamin di bawah 100.000",mmg focalure produk import bagus banget sya pakai produk mnjualnyaa minat followme harga jamin,positif,2,mmg focalure produk import bagus banget dan sya pemakai produk ini dan mnjualnyaa jika ada yang minat followme harga di jamin di bawah
pengen beli😁,beli,positif,2,ingin beli
Kaya dua lipa 😀😀,kaya lipa,netral,1,kaya dua lipa
cantik batt awlloo,cantik batt awlloo,positif,2,cantik batt awlloo
TIM 2018 NONTON 2KALI,tim nonton kali,netral,1,tim nonton kali
"Aku udah coba highlighter n blush on nya kak emg bner""bagus banget..
Temen""pada nanya harganya brp ps aku kasih tau pada gk percya
Hhh
Ketagiahan pngen beli yg lainnya lagi dr focallure",coba highlighter n blush on nya kak emg bner bagus banget temen nanya harga brp ps kasih percya h ketagiahan pngen beli focallure,positif,2,aku sudah coba highlighter n blush on nya kak emg bner bagus banget temen pada nanya harganya brp ps aku kasih tahu pada tidak percya hhh ketagiahan pngen beli yang lainnya lagi dari focallure
Cinta eyeshadow nya 😂,cinta eyeshadow nya,positif,2,cinta eyeshadow nya
Gara2 video ini dunia jadi tau focallure wkwk,gara video dunia focallure tertawa,netral,1,gara video ini dunia jadi tahu focallure tertawa
Maybelline push up drama kalo kak soalnya aku juga beli yang terbaru itu,maybelline push up drama kak beli baru,positif,2,maybelline push up drama kalau kak soalnya aku juga beli yang terbaru itu
ka focallur ada kw nya apa gak ya,kak focallur kw nya ya,netral,1,kak focallur ada kw nya apa tidak ya
"Taraaaa akhir ea ada juga yng tutorial pake focallure
Aq makeup'n pngntin pke nya ini ok bngt",tara ea yng tutorial pakai focallure makeup n pngntin pakai nya ok banget,netral,1,taraaaa akhir ea ada juga yng tutorial pakai focallure aku makeup n pngntin pakai nya ini ok banget
Pas kak tasya bilang jam 12 malem aku refleks langsung liat jam juga dan ternyata 30 menitan lagi jam 12 malem coy 😂 kok agak horor ya 😆,pas kak tasya bilang jam malem refleks langsung lihat jam menit jam malem coy horor ya,netral,1,pas kak tasya bilang jam malem aku refleks langsung lihat jam juga dan ternyata menitan lagi jam malem coy kok agak horor ya
Make up.pengantin pake ini semua apa ada yg mix mbk,make up pengantin pakai mix mbk,netral,1,make up pengantin pakai ini semua apa ada yang mix mbk
Klo mw beli focallure tu dmna sih... yg sekiranya asli... kok aku liat d olshop bayak yg harganya ga masuk akal gt... kyk 20rb tkut nya bodong,mw beli focallure tu dmna sih asli lihat d online shop bayak harga masuk akal gt kyk rb tkut nya bodong,positif,2,kalau mw beli focallure tu dmna sih yang sekiranya asli kok aku lihat d online shop bayak yang harganya tidak masuk akal gt kyk rb tkut nya bodong
Gaea gara video ini aku jadi borong produk focallure d shopee,gaea gara video borong produk focallure d shopee,positif,2,gaea gara video ini aku jadi borong produk focallure d shopee
udh kek pake kamera hp xiaomi,kek pakai kamera hp xiaomi,netral,1,sudah kek pakai kamera hp xiaomi
Sukak deh sama tutorialnya...pake banget malahh..😍😍,sukak deh tutorial pakai banget malahh,positif,2,sukak deh sama tutorialnya pakai banget malahh
2018 masih worth it??😂😂😂,worth it,positif,2,masih worth it
"Maaf makeupnya bagus tp untuk yg suka makeup jangan lupa lehernya jg biar ga beda
Warna muka dan leher kalo di poto belang maaf ya",maaf makeupnya bagus suka makeup lupa leher biar beda warna muka leher poto belang maaf ya,positif,2,maaf makeupnya bagus tapi untuk yang suka makeup jangan lupa lehernya juga biar tidak beda warna muka dan leher kalau di poto belang maaf ya
"ada yg sudh beli focallur?  hrgnya lbih murah dri ka tasya ngga.  soalnya liat di shopee bnr"" murah bgt jauh sma yg ka tasya sbutin tdii. orii ga yaa",sudh beli focallur hrgnya lbih murah dri kak tasya lihat shopee bnr murah banget sma kak tasya sbutin tdii orii ya,positif,2,ada yang sudh beli focallur hrgnya lbih murah dri kak tasya tidak soalnya lihat di shopee bnr murah banget jauh sma yang kak tasya sbutin tdii orii tidak ya
dan akhirnya sekarang ka Tasya bsa ke pabriknya langsung,kak tasya bsa pabrik langsung,netral,1,dan akhirnya sekarang kak tasya bsa ke pabriknya langsung
Yang katanya focallure abu2 bener gak sih?,focallure abu bener sih,netral,1,yang katanya focallure abu bener tidak sih
"bagus sih ka tapi di itung""semuanya 1,115 😂😂😂",bagus sih kak itung,positif,2,bagus sih kak tapi di itung semuanya
wah gilaseeeeh dari dulu2 udah sering liat focallure di shopee cuma takut bgt belinya gara2 shock aja ada makeup semurah2 ituuu wwkw sekarang ngeliat hasilnya bagus gile cuyyy jadi pengen beliiii wkwkwk,gilaseh lihat focallure shopee takut banget beli gara shock makeup murah wwkw hasil bagus gile cuy beli tertawa,positif,2,wah gilaseeeeh dari dulu sudah sering lihat focallure di shopee cuma takut banget belinya gara shock saja ada makeup semurah ituuu wwkw sekarang melihat hasilnya bagus gile cuyyy jadi ingin beliiii tertawa
"Tanya dong, kalo focallure yg po dari china tuh beneran ori apa fake ya? 
Soalnya di shopee murah2 banget, foundation cuma 30 rb an 😱
Jawab dong yg tau",focallure po china tuh beneran ori fake ya shopee murah banget foundation rb an,positif,2,tanya dong kalau focallure yang po dari china tuh beneran ori apa fake ya soalnya di shopee murah banget foundation cuma rb an jawab dong yang tahu
"Nonton video tasya aku jdi Pengen banget beli semua produk focalure,,
Tasya keren banget make upx
Jdi tambah ngefans dah,, 😘😘😘😘😘😘😘😘",nonton video tasya jdi banget beli produk focalure tasya keren banget make upx jdi ngefans dah,positif,2,nonton video tasya aku jdi ingin banget beli semua produk focalure tasya keren banget make upx jdi tambah ngefans dah
"Cantiikk????
Ka cara mekup kulit saomatang  gimana yahhh????",cantiikk kak mekup kulit saomatang gimana yah,netral,1,cantiikk kak cara mekup kulit saomatang gimana yahhh
Dan akhirnya CEO Focallure langsung kaya raya sekejap setelah video ini diupload 😂😂,ceo focallure langsung kaya raya kejap video diupload,netral,1,dan akhirnya ceo focallure langsung kaya raya sekejap setelah video ini diupload
Kak plis bikin makeup set,kak plis bikin makeup set,netral,1,kak plis bikin makeup set
Harga makeup foccalure lengkap cuma habis 400ribuan kak.. aku baru aja beli😂,harga makeup foccalure lengkap habis ribu kak beli,positif,2,harga makeup foccalure lengkap cuma habis ribuan kak aku baru saja beli
"ka lightingnya keterangan deh,jadi gajelas aku liat pas di aplikasiin ke wajahnya",kak lightingnya terang deh gajelas lihat pas aplikasiin wajah,netral,1,kak lightingnya keterangan deh jadi gajelas aku lihat pas di aplikasiin ke wajahnya
Ka coba pake peroduk oriflame ka,kak coba pakai peroduk oriflame kak,netral,1,kak coba pakai peroduk oriflame kak
Suka banget ngeliat video ini berulang ulang krn reaksi kk tasya 😁😁,suka banget video ulang ulang reaksi kak tasya,positif,2,suka banget melihat video ini berulang ulang karena reaksi kak tasya
Leny Agustus 20 ribu itu apa sis? Focallure memang harganya trjangkau loh,leny agustus ribu sis focallure harga trjangkau loh,netral,1,leny agustus ribu itu apa sis focallure memang harganya trjangkau loh
Beli di website nya ajja langsung,beli website nya ajja langsung,positif,2,beli di website nya ajja langsung
"Baru liat video ini wkwk.😭😭 Dan langsung beli focallure, banyak bgt cuma habis 500rb an, murah bgt😭😭😭 racun kak😭😭😭😭😭",lihat video tertawa langsung beli focallure banget habis rb an murah banget racun kak,positif,2,baru lihat video ini tertawa dan langsung beli focallure banyak banget cuma habis rb an murah banget racun kak
"Focallure skrng udh dijual di c&f botani square,  bogor",focallure skrng jual c f botani square bogor,netral,1,focallure skrng sudah dijual di c f botani square bogor
"Kalau udh gak kepake bisalah d ksih aja sma yg membutuhkan,  drpada nnt mubazir,  gua yakin bnget klau ka tasya pnya bnyak kosmetik 🤣🤣🤣🤣🤣😂",kepake bisa d ksih sma butuh drpada nnt mubazir gua bnget klau kak tasya pnya bnyak kosmetik,netral,1,kalau sudah tidak kepake bisalah d ksih saja sma yang membutuhkan drpada nnt mubazir gua yakin bnget klau kak tasya pnya bnyak kosmetik
"kak, di menit 9:08 ""eyeshadow yg dibilang bagus sebelum2 ini, lewat semuanya"" , tapi daily ttp pake merk lain yg lebih mahal diatas focallure atau focallure yg dikata bagus banget, tp murah ?",kak menit eyeshadow bilang bagus daily ttp pakai merk mahal atas focallure focallure kata bagus banget murah,negatif,0,kak di menit eyeshadow yang dibilang bagus sebelum ini lewat semuanya tapi daily ttp pakai merk lain yang lebih mahal diatas focallure atau focallure yang dikata bagus banget tapi murah
Aku baru tahu kalau consealer mamah aku brand focallure,consealer mamah brand focallure,netral,1,aku baru tahu kalau consealer mamah aku brand focallure
cuwantikkkk😍😍😍😍,cuwantik,netral,1,cuwantikkkk
Di shopee murah masaa:(,shopee murah masaa,positif,2,di shopee murah masaa
Aku bli fondi ny 30k,bli fondi ny k,netral,1,aku bli fondi ny k
aku bli di shofee .  murah murah bngt .  lebih murah dr tasya sebutkan,bli shofee murah murah banget murah tasya sebut,positif,2,aku bli di shofee murah murah banget lebih murah dari tasya sebutkan
"mirip bella swan ,di film twilught",bella swan film twilught,netral,1,mirip bella swan di film twilught
cek instagram @leni_homeshop kak jual focallure,cek instagram kak jual focallure,netral,1,cek instagram kak jual focallure
"Hai semua.... Cek website nshop25.com 
Banyak produk focallure yang lgi diskon lho 😍",hai cek website nshop com produk focallure lgi diskon lho,netral,1,hai semua cek website nshop com banyak produk focallure yang lgi diskon lho
kak behel nya bisa di lepas gaaj,kak behel nya lepas gaaj,netral,1,kak behel nya bisa di lepas gaaj
"Ok produk nya bagus, tapi ketahanan nya gimana tas?
Test dong",ok produk nya bagus tahan nya gimana tas test,positif,2,ok produk nya bagus tapi ketahanan nya gimana tas test dong
Aku gak bilang ini semua rekomended tapi ini semua rekomended 😂😂😂,bilang rekomended rekomended,positif,2,aku tidak bilang ini semua rekomended tapi ini semua rekomended
"Halal ga, yaaa ?? At least ada logo halal MUI (Indonesia) atau halalnya MUI (International), ga ??",halal ya at least logo halal mui indonesia halal mui international,netral,1,halal tidak yaaa at least ada logo halal mui indonesia atau halalnya mui international tidak
2018 kak.. Mna suaranya yg lain🙋🙋🙋,kak mna suara,netral,1,kak mna suaranya yang lain
"Kamu cantik biar gak make up. Tp Sya...review produk kita ding....coz dari pada ngelakuin produk  china, knp gak pake produk kita aja yg aman dan jelas halal.",cantik biar make up sya review produk ding coz ngelakuin produk china knp pakai produk aman halal,positif,2,kamu cantik biar tidak make up tapi sya review produk kita ding coz dari pada ngelakuin produk china knp tidak pakai produk kita saja yang aman dan jelas halal
"Ka kebanyakan ngomong😂😂 tapi mantaps ka, aku juga pake focallure harganya terjangkau🤗🤗",kak banyak ngomong mantaps kak pakai focallure harga jangkau,positif,2,kak kebanyakan ngomong tapi mantaps kak aku juga pakai focallure harganya terjangkau
Review produknyah oriflame dong kak tasya..yg giordani gold atau the one nya gitu ..pengen tau hasilnya kakak,review produknyah oriflame kak tasya giordani gold the one nya hasil kakak,netral,1,review produknyah oriflame dong kak tasya yang giordani gold atau the one nya begitu ingin tahu hasilnya kakak
"@iqbal indradinata di Shopee Banyak yg jual😁😁 aku 500rb dapet bedak padat, loose powder, lipcream 2, concealer 2, foundie 2, pensil alis, blush on 2, eyeshadow,primer,set brush sama beauty blender 😆😆😆",indradinata shopee jual rb bedak padat loose powder lipcream concealer foundie pensil alis blush on eyeshadow primer set brush beauty blender,netral,1,indradinata di shopee banyak yang jual aku rb dapat bedak padat loose powder lipcream concealer foundie pensil alis blush on eyeshadow primer set brush sama beauty blender
Aku jual ka silahkan yg mau bisa cht 085711675131 kalau gak cek fbku Deti rojabiyah,jual kak silah cht cek fbku deti rojabiyah,netral,1,aku jual kak silahkan yang mau bisa cht kalau tidak cek fbku deti rojabiyah
http://bit.ly/2RXgTe2 use this link to get discount from Focallure.com,use this link to get discount from focallure com,netral,1,use this link to get discount from focallure com
"Ko terang bgt sih kak 
Jadinya terlalu putih mukanya",ko terang banget sih kak putih muka,netral,1,ko terang banget sih kak jadinya terlalu putih mukanya
PIG MAN,pig man,netral,1,pig man
Ka terlalu banyak ngomong jadi ga fokusss,kak ngomong fokus,netral,1,kak terlalu banyak ngomong jadi tidak fokusss
endorse geto loh..,endorse geto loh,negatif,0,endorse geto loh
Punyaku yg shade no.3 sm no.4 rata2 😂😂😂,punya shade no no,netral,1,punyaku yang shade no sama no rata
pake bulu mata palsu kak🤣,pakai bulu mata palsu kak,netral,1,pakai bulu mata palsu kak
Tipe make up andalan orang arab..,tipe make up andal orang arab,netral,1,tipe make up andalan orang arab
Ini channel beuty atau lawak sih kakk .. ngakak beut dah 😁,channel beuty lawak sih kakk tertawa beut dah,netral,1,ini channel beuty atau lawak sih kakk tertawa beut dah
"Lebih murah kalo beli dishopee ka, barangnya dikirim dr cina langsung haha cucok meong bagi yg mau makeupan harga merakyat💜",murah beli dishopee kak barang kirim cina langsung tertawa cucok meong makeupan harga rakyat,positif,2,lebih murah kalau beli dishopee kak barangnya dikirim dari cina langsung tertawa cucok meong bagi yang mau makeupan harga merakyat
"Ka tasya diapa2inn ttp cantikk
❤💏💏",kak tasya apa inn ttp cantikk,positif,2,kak tasya diapa inn ttp cantikk
"Gw sering nonton beauty vlogger, tp gada yg buat gw nonton sambil ngakal so hard kaya channelnya tasya, udah cantik, hiperaktif pula 🤣 tp sumpah gw suka bgt m tasya farasha 😍",nonton beauty vlogger gada nonton ngakal so hard kaya channelnya tasya cantik hiperaktif sumpah suka banget m tasya farasha,positif,2,saya sering nonton beauty vlogger tapi gada yang buat saya nonton sambil ngakal so hard kaya channelnya tasya sudah cantik hiperaktif pula tapi sumpah saya suka banget m tasya farasha
Kakak cantik banget,kakak cantik banget,positif,2,kakak cantik banget
Aq beli brang dirim dri china harga lbih murah hmpir separonya,beli brang rim dri china harga lbih murah hmpir paro,positif,2,aku beli brang dirim dri china harga lbih murah hmpir separonya
Emang parah focalur eyeshadow tropical wuiiiiih.... Pigmetd......,parah focalur eyeshadow tropical wuih pigmetd,netral,1,memang parah focalur eyeshadow tropical wuiiiiih pigmetd
"Kak tasya nanya di detik 4.32 "" ini produk apa sih"" kan kak tasya yg review masa gk tau itu produk apa wkwk 
Hanya bercanda yaa kak 🙏",kak tasya nanya detik produk sih kak tasya review produk tertawa canda ya kak,netral,1,kak tasya nanya di detik ini produk apa sih kan kak tasya yang review masa tidak tahu itu produk apa tertawa hanya bercanda ya kak
"Serius aku kemren juga liat"" di aplikasi perbelanjaan dan dikirim dari luar negri tapi harganya murah"" sempet gak percaya kalok bagus. But aku liat youtube kaka kok kliatan bagus jadi pengen beli jugaa😍😍",serius kemren lihat aplikasi belanja kirim negri harga murah sempet percaya kalok bagus but lihat youtube kaka kliatan bagus beli jugaa,positif,2,serius aku kemren juga lihat di aplikasi perbelanjaan dan dikirim dari luar negri tapi harganya murah sempet tidak percaya kalok bagus but aku lihat youtube kaka kok kliatan bagus jadi ingin beli jugaa
Overlight,overlight,netral,1,overlight
Ini mbuktikn klau cantik itu ga harus mahal. 😊😊.,mbuktikn klau cantik mahal,negatif,0,ini mbuktikn klau cantik itu tidak harus mahal
"Kak kok aku nyobain ga cocok d muka aku malah lose powdernya, lipcream nya lengket bgt :(",kak nyobain cocok d muka lose powdernya lipcream nya lengket banget,negatif,0,kak kok aku nyobain tidak cocok d muka aku malah lose powdernya lipcream nya lengket banget
Itu foundation nya keputihan ato lightingnya keputihan? :(,foundation nya putih ato lightingnya putih,negatif,0,itu foundation nya keputihan ato lightingnya keputihan
Cocok gak sii buat kulit berminyak?,cocok sii kulit minyak,netral,1,cocok tidak sii buat kulit berminyak
Ku menyesal baru melihat video ini :( knp g dari dulu gt,ku sesal video knp g gt,netral,1,ku menyesal baru melihat video ini knp g dari dulu gt
Gw baru beli focallure ultra chic lips yg 07. Sumpah gw suka bgt warnanya.,beli focallure ultra chic lips sumpah suka banget warna,positif,2,saya baru beli focallure ultra chic lips yang sumpah saya suka banget warnanya
Foundation foccalure 95rb!! Mahal bgt! Aku beli di malaysia kynya ga nyampe 30rb dan itu ori,foundation foccalure rb mahal banget beli malaysia kynya nyampe rb ori,negatif,0,foundation foccalure rb mahal banget aku beli di malaysia kynya tidak nyampe rb dan itu ori
Aaaaaaaww 😍😍😍😍,aww,netral,1,aaaaaaaww
"Selalu nonton,,,  suka bgt,,, cantik bgt kk",nonton suka banget cantik banget kak,positif,2,selalu nonton suka banget cantik banget kak
Keren cantik loooo,keren cantik lo,positif,2,keren cantik loooo
kayanya  terlalu silaw 😂🙏,kaya silaw,netral,1,kayanya terlalu silaw
gue ga ngerti lagi lu cantik banget kakkkkkk,ngerti lu cantik banget kak,positif,2,saya tidak ngerti lagi lu cantik banget kakkkkkk
"Gue nyari komen total harga, pusing scroll gk nemu2 akhirnya ngitung sndiri,.😂",nyari komen total harga pusing scroll nemu ngitung sndiri,netral,1,saya nyari komen total harga pusing scroll tidak nemu akhirnya ngitung sndiri
Keren bgt 👍🏻 q pake juga kak...,keren banget q pakai kak,positif,2,keren banget q pakai juga kak
"hallo ka tasya farasya, aku udah tonton video kaka nge-review tentang prodak focallure wah murah murah ya ka 😍 tapi ada juga loh ka prodak flormar kalo ga salah brand itali dia murah murah juga loh ka, aku liat ada eyebrow berbentuk spidol dari flormar , review dong ka cara gunain prodak eyebrow itu aku mau tau caranya 😂",hallo kak tasya farasya tonton video kaka nge review prodak focallure murah murah ya kak loh kak prodak flormar salah brand itali murah murah loh kak lihat eyebrow bentuk spidol flormar review kak gunain prodak eyebrow,positif,2,hallo kak tasya farasya aku sudah tonton video kaka nge review tentang prodak focallure wah murah murah ya kak tapi ada juga loh kak prodak flormar kalau tidak salah brand itali dia murah murah juga loh kak aku lihat ada eyebrow berbentuk spidol dari flormar review dong kak cara gunain prodak eyebrow itu aku mau tahu caranya
Otw semua produk make up ku focallure😍,jalan produk make up ku focallure,netral,1,dalam perjalanan semua produk make up ku focallure
Kek orang barat 😂 cantik kali 😊,kek orang barat cantik kali,positif,2,kek orang barat cantik kali
"Kak, Focallure tahannya kira2 brapa lama yah? Dan cocok untuk makeup mua gak?",kak focallure tahan brapa yah cocok makeup mua,netral,1,kak focallure tahannya kira brapa lama yah dan cocok untuk makeup mua tidak
"Makasih ya...rekomen tuk prodak yg bagus donk,",terima kasih ya rekomen tuk prodak bagus donk,positif,2,terima kasih ya rekomen tuk prodak yang bagus donk
Bingung gkbisa makeknya 😄😄😄😁😁😁 biasanya cm bedakan doang,bingung gkbisa makeknya cm beda doang,netral,1,bingung gkbisa makeknya biasanya cm bedakan doang
Tasya ceria farasya,tasya ceria farasya,netral,1,tasya ceria farasya
cantiknya kak tasyaa😍😍,cantik kak tasyaa,positif,2,cantiknya kak tasyaa
Kak aku beli online dari cina lebih murah foundation cuma 34ribu loose powder juga cuma 25ribu,kak beli online cina murah foundation ribu loose powder ribu,positif,2,kak aku beli online dari cina lebih murah foundation cuma ribu loose powder juga cuma ribu
sekilas mirip avril  lavigne,kilas avril lavigne,netral,1,sekilas mirip avril lavigne
Halal ga? Dr cina soalnya,halal cina,netral,1,halal tidak dari cina soalnya
"Setelah berkali-kali nonton video ini akhirnya q keracunan dan malah jadi jualan produk"" dari focallure
Cek ig @safar_shop_
Maaf malah numpang promo ka tasya 
#racunfarasya",kali kali nonton video q racun jual produk focallure cek ig maaf numpang promo kak tasya,positif,2,setelah berkali kali nonton video ini akhirnya q keracunan dan malah jadi jualan produk dari focallure cek ig maaf malah numpang promo kak tasya
kak klok kita pakek fondation warnanya lebih cerah dari mu kita apa samain aja sama warna kulit kita plis butuh respon kk,kak klok pakek fondation warna cerah mu samain warna kulit plis butuh respon kak,netral,1,kak klok kita pakek fondation warnanya lebih cerah dari mu kita apa samain saja sama warna kulit kita plis butuh respon kak
bagus,bagus,positif,2,bagus
"Kak tasya, kalok pake highlighter tanpa fondation atau base make up lainnya bisa gk kak? Soalnya wajah sensitif gak bisa kaya kak tasya yg full coverage gtu. Tolong sarannya ya kak.",kak tasya kalok pakai highlighter fondation base make up kak wajah sensitif kaya kak tasya full coverage gtu tolong saran ya kak,netral,1,kak tasya kalok pakai highlighter tanpa fondation atau base make up lainnya bisa tidak kak soalnya wajah sensitif tidak bisa kaya kak tasya yang full coverage gtu tolong sarannya ya kak
"Setting lighting nya terlalu lebay 
Jadi gk keliatan pas dia nunjukin make up nya ke kamera nya 
Mungkin ring light nya terlalu terang kli yahhhh maybe",setting lighting nya lebay liat pas nunjukin make up nya kamera nya ring light nya terang kli yah maybe,netral,1,setting lighting nya terlalu lebay jadi tidak keliatan pas dia nunjukin make up nya ke kamera nya mungkin ring light nya terlalu terang kli yahhhh maybe
Jd pengen beli produknyaa kaka udh ngeracunin gtu pake produknya yaa ampuuun..,beli produknyaa kaka ngeracunin gtu pakai produk ya ampun,positif,2,jadi ingin beli produknyaa kaka sudah ngeracunin gtu pakai produknya ya ampuuun
kak aq blh nnyak ndak itu prodak apa aja yg hrs di bli,kak blh nnyak ndak prodak hrs bli,netral,1,kak aku blh nnyak ndak itu prodak apa saja yang hrs di bli
mirip bu ala bgt kak,bu ala banget kak,netral,1,mirip bu ala banget kak
aduhh kepala gw sakit...karna Racun...kaya ada Bisik Bisikan #BELITUMAKEUP#😨,aduhh kepala sakit racun kaya bisik bisik,positif,2,aduhh kepala saya sakit karena racun kaya ada bisik bisikan
Aku suka focallure harganya mumer juga 25rbuann💖💖💖,suka focallure harga mumer rbuann,positif,2,aku suka focallure harganya mumer juga rbuann
Masuuk pak eko 😍😍,masuuk eko,netral,1,masuuk pak eko
Jadi galau sumpah pingin coba brand make over atau brand focallure ini.🤕,galau sumpah pingin coba brand make over brand focallure,netral,1,jadi galau sumpah pingin coba brand make over atau brand focallure ini
Aku gamau banyak omong 😄,gamau omong,netral,1,aku gamau banyak omong
GILAAA MURAH BGTT!! 😩😭,gila murah banget,positif,2,gilaaa murah banget
jadi inget bioaqua yg copycat skinaqua,inget bioaqua copycat skinaqua,netral,1,jadi inget bioaqua yang copycat skinaqua
gara2  dek tasya blg eyeshadownya bagus... saya jd beli langsung wagelaseh... racun syekalee hey... gak sabar nunggu paket uwuwuwu,gara dek tasya blg eyeshadownya bagus beli langsung wagelaseh racun syekalee hey sabar nunggu paket uwuwuwu,positif,2,gara dek tasya blg eyeshadownya bagus saya jadi beli langsung wagelaseh racun syekalee hey tidak sabar nunggu paket uwuwuwu
"""Pengen jd ownernya focallure"" 
Ya bisa aja lah sya 😂",ownernya focallure ya sya,netral,1,ingin jadi ownernya focallure ya bisa saja lah sya
Lengkap sudah aku beli produk focallure.. gara2 racun dunia ini.. wkwkwkwkwkw..,lengkap beli produk focallure gara racun dunia wkwkwkwkwkw,positif,2,lengkap sudah aku beli produk focallure gara racun dunia ini wkwkwkwkwkw
"Di shopee focallur harganya lebih murah dibanding kk tasya sebutin, tapi emng bagus produknnya",shopee focallur harga murah banding kak tasya sebutin emng bagus produknnya,positif,2,di shopee focallur harganya lebih murah dibanding kak tasya sebutin tapi emng bagus produknnya
Eyeshadow palette nya focallure daebak,eyeshadow palette nya focallure daebak,netral,1,eyeshadow palette nya focallure daebak
RACUUUUUUN PARAHHHH,racun parah,netral,1,racuuuuuun parahhhh
itu kakak pke bulu mata apa gk ya??,kakak pakai bulu mata ya,netral,1,itu kakak pakai bulu mata apa tidak ya
Itu TAHAN LAMA GAK YA KAK?????? TOLONG DI JAWAB SOAL NY MAU BELIIIIIII,tahan ya kak tolong ny beli,positif,2,itu tahan lama tidak ya kak tolong di jawab soal ny mau beliiiiiii
Mau tanyaa ini produk focalur endors dari produsen focalur atau ka tasya beli ya soalnya aku mau buat skripsi mengenai video ini trimakasih yg tau mohon bantu jawab ya 😊,tanyaa produk focalur endors produsen focalur kak tasya beli ya skripsi video trimakasih mohon bantu ya,positif,2,mau tanyaa ini produk focalur endors dari produsen focalur atau kak tasya beli ya soalnya aku mau buat skripsi mengenai video ini trimakasih yang tahu mohon bantu jawab ya
Gw ga demen bgt ngeliat muka nih cewe. Kata gw mah mukanya serem kyk vampire. 😬,demen banget muka cewe mah muka rem kyk vampire,netral,1,saya tidak demen banget melihat muka ini cewe kata saya mah mukanya serem kyk vampire
Cantik sih cantik tapi tebelnya minta ampun,cantik sih cantik tebelnya ampun,positif,2,cantik sih cantik tapi tebelnya minta ampun
Pernah kena tipu beli on9???,kena tipu beli on,positif,2,pernah kena tipu beli on
"Jam 12 ku nonton ini gara2 lihat snap kamu,gilakkkk sukaaa bangetttt ❤️❤️❤️❤️",jam ku nonton gara lihat snap gilak suka banget,positif,2,jam ku nonton ini gara lihat snap kamu gilakkkk sukaaa bangetttt
"Teramat sangat racun pake banget2 sampai2 di online shop gw selalu nyari produc2 focallure terus menerus di karenakan gw melihat Barbie farasya pake produc focallure.... Dan gw teracuni, dan gw kefikiran terus menerus saat gw blm beli, dan skrng ahirnya gw beli juga lroduc focallurenya ,  kalaupun barangy blm sampe hahaha",amat racun pakai banget online shop nyari produc focallure terus karena barbie farasya pakai produc focallure racun kefikiran terus beli skrng ahirnya beli lroduc focallurenya barangy tertawa,positif,2,teramat sangat racun pakai banget sampai di online shop saya selalu nyari produc focallure terus menerus di karenakan saya melihat barbie farasya pakai produc focallure dan saya teracuni dan saya kefikiran terus menerus saat saya belum beli dan skrng ahirnya saya beli juga lroduc focallurenya kalaupun barangy belum sampai tertawa
"Ka tasya aq pake fondation focalur tp bedak tabur marck sm bedak padat wardah... tp klo keringetan kp retak2 yah? Jadi kaya nimbul gitu dempulan.a.. oudor jg pecah2 gitu ...di tap pelan pake tisu krn kringetan eh luntur😅 jd hilang gitu...pdhal dh pke seting spray mineral botanica... 
Salah dmn y ka? Solusinya donk😭",kak tasya pakai fondation focalur bedak tabur marck bedak padat wardah keringetan kp retak yah kaya nimbul dempul a oudor pecah tap pelan pakai tisu kringetan eh luntur hilang pdhal dh pakai ting spray mineral botanica salah dmn y kak solusi donk,netral,1,kak tasya aku pakai fondation focalur tapi bedak tabur marck sama bedak padat wardah tapi kalau keringetan kp retak yah jadi kaya nimbul begitu dempulan a oudor juga pecah begitu di tap pelan pakai tisu karena kringetan eh luntur jadi hilang begitu pdhal dh pakai seting spray mineral botanica salah dmn y kak solusinya donk
kok jadi mirip sama dualipa yaa,dualipa ya,netral,1,kok jadi mirip sama dualipa ya
Dan sial nya gw nonton vidio ini mesti jam 12an 😑,sial nya nonton vidio mesti jam an,netral,1,dan sial nya saya nonton vidio ini mesti jam an
beli dmna ka?,beli dmna kak,positif,2,beli dmna kak
Cek olshop ig @belangibeauty.store,cek online shop ig store,netral,1,cek online shop ig store
