comment_raw,comment_preprocessing,label_sentimen,label
make up china ka,make up china kak,netral,1
"tasya farasya pengen di mekup'n tasya,,,,",tasya farasya mekup n tasya,netral,1
Mau beli dimana foundation nya aja...dan blus on nya bagus bgt produknya,beli mana foundation nya blus on nya bagus banget produk,positif,2
"Sahila Nz info dong, dapetnya concealer nya yg model mana kak? sepertinya bagus yaa",sahila nz info dapetnya concealer nya model kak bagus ya,positif,2
Kak Tasya gila bener di video ini keranjingan Focallure. Haha. Itu aman bener murah gitu?,kak tasya gila bener video keranjingan focallure tertawa aman bener murah,positif,2
aku 2024 baru nonton😭,nonton,netral,1
Sama kok aku juga beli di shopee harganya super murah banget dan pengiriman langsung dari Cina jadi emang agak lama dan insya Allah original. Nama tokonya misswaiting.id sama tiffany2018.id di Shopee ya,beli shopee harga super murah banget kirim langsung cina insya allah original nama toko misswaiting id tiffany id shopee ya,positif,2
cuwantikkkk😍😍😍😍,cuwantik,netral,1
dea adams warnanya harus sama ya? oke makasih ya,dea adams warna ya oke terima kasih ya,netral,1
Nonton pas tahun 2020 okctober,nonton pas okctober,netral,1
November 2020 😂,november,netral,1
"Baru nonton 2021, dan skrg harganya ada yg diatas 200 heheh",nonton skrg harga atas heheh,netral,1
kalo mau beli produknya dimana yah?,beli produk mana yah,positif,2
Gaes cek ig fabulash.byfaby. semua product focallure dan bioaqua ori muraaaahhhhhh lgsg cek cek cek,gaes cek ig fabulash byfaby product focallure bioaqua ori murah lgsg cek cek cek,netral,1
"Selamat Pagi/Siang/Sore

Perkenalkan nama saya Yuni Astuti mahasiswi Public Relations Universitas Mercu Buana yang sedang melakukan penelitian mengenai Pengaruh Penggunaan Youtube One Brand Make Up Tutorial Tasya Farasya Terhadap Peningkatan Citra Focallure untuk keperluan Tugas Akhir S1 yang saat ini saya jalani.

Adapun kriteria dalam penelitian adalah sebagai berikut:
1.	Perempuan
2.	Berusia 18-34 tahun
3.	Viewers video One Brand Make Up Tutorial “Focallure” Tasya Farasya

Saya berharap Saudari memberikan kesediaan waktunya untuk berpartisipasi dalam menjawab kuesioner ini secara tepat. 

Berikut Link untuk pengisian google form : 
https://forms.gle/2iozvxZxMybdjVd19

Atas bantuan kalian dalam pengisian kuesioner ini, saya ucapkan terimakasih.",selamat pagi siang sore kenal nama yuni astuti mahasiswi public relations universitas mercu buana teliti pengaruh guna youtube one brand make up tutorial tasya farasya tingkat citra focallure perlu tugas s jalan kriteria teliti perempuan usia viewers video one brand make up tutorial focallure tasya farasya harap saudari sedia partisipasi kuesioner link isi google form bantu isi kuesioner ucap terimakasih,netral,1
Aku beli highlighter focalure di shoppe harganya cuma 30 ribu Dan itu bagus bnget. Itu Dari China gitu. Sumpah bagus banget kak. Jadi sukaaaaak,beli highlighter focalure shoppe harga ribu bagus bnget china sumpah bagus banget kak sukak,positif,2
Tasya kalau review lipstick apapun deh merk kasih tau dong transfer apa ngga secara anak udah aga besar malu kalau di sun mama nya 😪 kalau transfer di pipinya 😓😓😓,tasya review lipstick apa deh merk kasih transfer anak aga malu sun mama nya transfer pipi,netral,1
wajax keliatan capek bgt. sembab.,wajax liat capek banget sembab,netral,1
"yaa ampus sukak banget,  
oy kak Tasya foudation dr focallure bisa buat kulit berminyak gak ya,,  kira kiraa",ya ampus sukak banget oy kak tasya foudation focallure kulit minyak ya kiraa,positif,2
"26 Mei
kakak yg ngomong aku yang ngap🤔",mei kakak ngomong ngap,netral,1
Super suka sama cerewetannya ma tasyaa,super suka cerewet ma tasyaa,positif,2
2020 check?!! 😅,check,netral,1
dan aku langsung buka ig ars_fashion 😌 kompor banget kak ca ini 😂,langsung buka ig ars fashion kompor banget kak ca,netral,1
youtuber berjiwa juru kampanye dan motivator di bidang perbelanjaan makeup #LOL,youtuber jiwa juru kampanye motivator bidang belanja makeup,netral,1
"2021 :')
Here I am",here i am,netral,1
"hawo! mampir ke chanel aku yu. chanell yotube nya masih baru. bantu promo, like, coment and subscribe jugaaaa, makasihhhhhh",hawo mampir chanel yu chanell yotube nya bantu promo like coment and subscribe terima kasih,netral,1
Kak bagusan mana sama LA girl?,kak bagus la girl,positif,2
"Mau nanya dong guys, focallure itu cuma bisa beli online ya? Store nya dmna ada yg tau kah?",nanya guys focallure beli online ya store nya dmna kah,positif,2
Otw semua produk make up ku focallure😍,jalan produk make up ku focallure,netral,1
Cantik banget kak tasya😘😘,cantik banget kak tasya,positif,2
Foundationnya gmn kak oke gk buat kulit berminyak?,foundationnya gmn kak oke kulit minyak,netral,1
sama kaya essence yaa murah banget dan lumayan ok product nya 😊,kaya essence ya murah banget lumayan ok product nya,positif,2
"Hey girl, really love watching your videos xx but I have been wanting to say that your foundation is way too light for your skin colour, not sure if its the lighting. But I hope whatever it is you can fix it soon, overall love your personality and content ^^",hey girl really love watching your videos xx but i have been wanting to say that your foundation is way too light for your skin colour not sure if its the lighting but i hope whatever it is you can it soon overall love your personality and content,positif,2
Heboh ya kak 💞💞💞👌👌👌,heboh ya kak,netral,1
sukaaaa :) :*,suka,positif,2
Seneng liat dy heboh sendiri..  Pake bodyshop sihh... Bgus kok.. Hee krna cuma it yg aman d muka aku hiksss,neng lihat dy heboh pakai bodyshop sihh bgus hee krna it aman d muka hiks,netral,1
"Kak Aku mau request makeup ala YouTubers Arab,modelnya pada cakep cakep😍😂 https://www.youtube.com/channel/UCGDBF-izGQHb3tZeBdAJM6w",kak request makeup ala youtubers arab model cakep cakep,netral,1
Yg baru nonton 2018????,nonton,netral,1
"OMG KAK KARENA KAK TASYA AKU JD BELI EYESHADOWNYA FOCALLURE, AKU TELAT BANGET SI TAPI YAUDS LA YA:"")",ya ampun kak kak tasya beli eyeshadownya focallure telat banget si yauds la ya,positif,2
NGECES nihhh liat produkknya,ngeces lihat produkknya,netral,1
"collab dong sama suhay, kalian cucok deh, mau sejam juga dipantengin 😍",collab suhay cucok deh jam dipantengin,netral,1
Agak silau gitu kan jg kak tasya putih di tambah foundisyen heheh,silau kak tasya putih foundisyen heheh,netral,1
Ka toutor one brand makeup dari Ranee dong ka,kak toutor one brand makeup ranee kak,netral,1
Racunnnnn😭😂,racun,positif,2
Ya kak tadinya aku mau beli di IG ars. Apa gitu harganya agak mahal sih kalo kata akuh sih dibanding di shopee,ya kak beli ig ars harga mahal sih akuh sih banding shopee,negatif,0
Pernah kena tipu beli on9???,kena tipu beli on,positif,2
Kalo foundation nya bagus ga kak?,foundation nya bagus kak,positif,2
Umur berapa ya??,umur ya,netral,1
"kak , request one brand tutorial yg brand catrice dong kakk",kak request one brand tutorial brand catrice kakk,netral,1
berhasil parah buat gue pengen beli. siap2 abis duit bulanan ini mah 😭,hasil parah beli abis duit bulan mah,positif,2
keterangan cahaya....!😅,terang cahaya,netral,1
eyelinernya berapa?,eyelinernya,netral,1
lightingnya jelek kak putih banget. jadi warna prodak2 nya gak keliatan perbedaannya,lightingnya jelek kak putih banget warna prodak nya liat beda,negatif,0
mei 2019❤,mei,netral,1
23 oktober 2020 😊,oktober,netral,1
Kak Cips beli di shopee yg official shop itu dr luar negeri ^^,kak cips beli shopee official shop negeri,positif,2
Aku juga suka banget focallure😍😍😍,suka banget focallure,positif,2
"Salfok sama warna backgroundnya kk tasya.. 
Warna lipstiknya sama ama backgrounnya😁👌",salfok warna backgroundnya kak tasya warna lipstik ama backgrounnya,netral,1
"Makeup kamu bagus bgt ni. Saya punya youtube channel juga, tapi makeup saya tak sebagus tasya, im so envy😍😍😍 salam dari Malaysia",makeup bagus banget ni youtube channel makeup bagus tasya im so envy salam malaysia,positif,2
Racunnn!! 😝,racun,positif,2
Aq beli d shopee 2x lbh murah dan ori tapi langsung dri cina dan 2 mingguan..yg paling bagus palette dan eye liner nya yg paling gak aq suka lips cream nya karena lengket,beli d shopee x lbh murah ori langsung dri cina minggu bagus palette eye liner nya suka lips cream nya lengket,positif,2
Lucu bgt ka taca pas bilang 'aduh gimana nih'😘😘😍 aku akan membeli eyeshadow nya ka taca ekwkw,lucu banget kak taca pas bilang aduh gimana beli eyeshadow nya kak taca ekwkw,positif,2
"Hi kak, fyi aja bbrapa produk focallure udh BPOM lho..",hi kak fyi bbrapa produk focallure bpom lho,netral,1
Marni Wati aliexpress say,marni wati aliexpress say,netral,1
Pengen deh di dandanin kamu tasy,deh dandanin tasy,netral,1
Kak Tasya jangan terlalu baik ada yang kak Tasya bilang bagus tapi menurut aku jelek,kak tasya kak tasya bilang bagus jelek,negatif,0
"mmg focalure produk import bagus banget ,  dan sya pemakai produk ini dan mnjualnyaa . jika ada yg minat followme @prilaprilprile harga di jamin di bawah 100.000",mmg focalure produk import bagus banget sya pakai produk mnjualnyaa minat followme harga jamin,positif,2
terasa di doktrin gitu. jdi pen belii😥😥😰,doktrin jdi pen beli,positif,2
gw sekarang mau bedakan kaya kamu.,beda kaya,netral,1
Dua lipa?,lipa,netral,1
"untung toko ars_fashion nya di pontianak, jd bisa langsung nyobain tester nya 😍😍",untung toko ars fashion nya pontianak langsung nyobain tester nya,netral,1
kak itu backgroundnya namanya apa? dan beli dimana ya? kalo ada yg tau bantu jawab dongg,kak backgroundnya nama beli mana ya bantu dongg,positif,2
foundation price????,foundation price,netral,1
Kocak bgt sih kk haha 😘😘,kocak banget sih kak tertawa,netral,1
Februari 2021 dong :),februari,netral,1
video ter the best ka tasyaaaaa ❤❤❤,video ter the best kak tasya,netral,1
Keputihan bgt si,putih banget si,negatif,0
kak ada niat jadi brand ambassadornya produk focallure ga? kakak makeupnya cantik bangeeeet,kak niat brand ambassadornya produk focallure kakak makeupnya cantik banget,positif,2
Eyeshadow nyaaaa luv luv luvvvvvvv m,eyeshadow nya luv luv luv m,positif,2
tasya bikinin tutorial buat wisuda donggg..,tasya bikinin tutorial wisuda,netral,1
gak kuat!! akhirnya gua jajan focallure jg akhirnyaaaa 😥😂😁,kuat gua jajan focallure,netral,1
pengwn banget jadi adek k tasya . supaya warisin keahliannya dan harta make up nya,pengwn banget adek k tasya warisin ahli harta make up nya,netral,1
"Ka tasya diapa2inn ttp cantikk
❤💏💏",kak tasya apa inn ttp cantikk,positif,2
Ramadani Fitria maap gua juni,ramadan fitria maap gua juni,netral,1
Baru liat sekarang wkwk,lihat tertawa,netral,1
Kok keputihan yah kak keliatannya,putih yah kak liat,negatif,0
+Ade Yulita Rosanna Situmorang udah,ade yulita rosanna situmorang,netral,1
haha yg lain langsung mau borong semua produk nyaa.  kalo tasya mau langsung jd owner pabriknya😂😂😂,tertawa langsung borong produk nyaa tasya langsung owner pabrik,positif,2
selalu racun 😤😘,racun,positif,2
"yaampun aku baru nonton 31 Desember 2019 ,btw bsk tahun baru 💞",yaampun nonton desember ngomong-ngomong bsk,netral,1
"look fav fav fav dari semuaaaaaaa video nya tasya yg udh di upload...
paraaahhhh...",look fav fav fav video nya tasya upload parah,netral,1
Focallure emg best banget😭,focallure emg best banget,positif,2
masih nungguin bangett nih Suhay salum X Tasya Farasya!! aamiin ❤,nungguin bangett suhay salum x tasya farasya aamiin,netral,1
"Kalau sudah cantik,pakai apapun ya cantik 😁",cantik pakai apa ya cantik,positif,2
Yang katanya focallure abu2 bener gak sih?,focallure abu bener sih,netral,1
tasya farasya kak belinya dmn,tasya farasya kak beli dmn,positif,2
ka tasya lucu banget di video yg ini 😂,kak tasya lucu banget video,netral,1
Bagi kami itu mahal. 🙂,mahal,negatif,0
pengen banget beliii sampe cek bolak balik olshopnya smape nntn bolak baliik ini video kakak ga bosen boseeen kerennn bgtt makeupnyaaa 😍,banget beli cek bolak olshopnya smape nntn bolak baliik video kakak bosen bosen keren banget makeupnya,positif,2
Kak di @ladylipstickque lebih murah kak,kak murah kak,positif,2
"Mau belajar make-up , kayanya wajib bli produk Focollur . Tapi harga di Taiwan agak mehong kak",ajar make up kaya wajib bli produk focollur harga taiwan mehong kak,netral,1
Hey,hey,netral,1
kak ini eyeshadownya aman ga? pengen beliiiii:(,kak eyeshadownya aman beli,positif,2
PIG MAN,pig man,netral,1
mirip dua lipa kak😁,lipa kak,netral,1
Mba tasya lightening nya too much jadi gak nampak aslinya jadi kaya beauty plus. Aku pgn liat realnya,mba tasya lightening nya too much nampak asli kaya beauty plus lihat real,netral,1
2023 anyone?,anyone,netral,1
"ini sih bukan menor, tp elegan...",sih menor elegan,negatif,0
sampe habis lho stok eyeshadownya.. racun bgt niiihh😄😄,habis lho stok eyeshadownya racun banget nihh,positif,2
"kak dukung aku jadi youtuber juga kak 
aku mau juga jadi beauty flogger kaya kakak",kak dukung youtuber kak beauty flogger kaya kakak,netral,1
Aaah racun bangeeeet. Jd pengen beli semuanya ❤,ah racun banget beli,positif,2
11 januari 2020😄😄,januari,netral,1
Ya,ya,netral,1
Ngepas banget jam nya...,ngepas banget jam nya,netral,1
smart banget make up ny,smart banget make up ny,netral,1
sumpah racun bgt 😭😭😍😍😍😍,sumpah racun banget,positif,2
"astaga putih bet,itu leher kurang rta",astaga putih bet leher rta,netral,1
tasya brand ini aman atau tidak ya kok aku cek di aliexpress harga produk focallure cuma sekitar 1 dollar ya 😂 pretty sure it is the same thing not the knock off. kalo warna namanya samaan malah kayak produk OEM alias rebrand aja,tasya brand aman ya cek aliexpress harga produk focallure dollar ya pretty sure it is the same thing not the knock off warna nama sama kayak produk oem alias rebrand,netral,1
Am I the only Malaysian who are so addicted with all her makeup tutorial and review videos. Dayummm she’s beautiful ❤️,am i the only malaysian who are so addicted with all her makeup tutorial and review videos dayum she s beautiful,netral,1
"""aku gamau bilang ini semua recommended, tapi emang ini semua recommended"" wkwkwkwkwk gila seru abis nontoninnya drtd kak 😘",gamau bilang rekomendasi rekomendasi wkwkwkwkwk gila seru abis nontoninnya drtd kak,positif,2
Review produknyah oriflame dong kak tasya..yg giordani gold atau the one nya gitu ..pengen tau hasilnya kakak,review produknyah oriflame kak tasya giordani gold the one nya hasil kakak,netral,1
Racun bgtttt!!!!!,racun banget,positif,2
Nonton tadi pagi. Siang langsung beli😂. Bener2 kak Tasya kasih racun,nonton pagi siang langsung beli bener kak tasya kasih racun,positif,2
"Kak kok aku nyobain ga cocok d muka aku malah lose powdernya, lipcream nya lengket bgt :(",kak nyobain cocok d muka lose powdernya lipcream nya lengket banget,negatif,0
Sayoto Miu dimna itu say?,sayoto miu dimna say,netral,1
Mirip nia ramadhani,nia ramadhani,netral,1
Mau berbagai macam produk focallure original silahkan follow ig @arfa.id8 ( ada angka 8 nya ) semua produk harganya di bawah 58 ribuann,produk focallure original silah follow ig id angka nya produk harga ribuann,netral,1
Kk..powder nya apa sih itu..ko q cari gak ada,kak powder nya sih ko q cari,netral,1
Mau nanya dong focallur halal ngga ya?,nanya focallur halal ya,netral,1
Kakak cantik banget,kakak cantik banget,positif,2
"Ak jg pake kak,,, kalau beli dari cina,, Foundation cuma 35k uang indo",ak pakai kak beli cina foundation k uang indo,positif,2
"kak kenapa ya harga focallure yg dijual2 di sh**p*e itu jauh lebih murah? bahkan 30ribu aja udah bisa dapetin liquid foundation focallure. aku tergiur karna liat harganya yg murce banget, tapi klo harganya semurah itu juga aku jadi agak takut mau belinya. takut palsu atau semacamnya 😔",kak ya harga focallure jual sh p e murah ribu dapetin liquid foundation focallure giur lihat harga murce banget harga murah takut beli takut palsu macam,positif,2
FOCALLURE MURAH SEINSTAGRAM @focallure_jakarta banyak giveawayyyyy,focallure murah seinstagram giveaway,positif,2
Please bikinin giveaway pocallure nya 1 paket kaaaaa #pengenbanget 😢😢😢,please bikinin giveaway pocallure nya paket kak,netral,1
Racun banget wajib beli 😩😩❤️❤️❤️,racun banget wajib beli,positif,2
Kereen bngt,kereen banget,netral,1
Kk kaya pemain aladdin Naomi scoot pemeran putri jasmine bikin tutorial make up nya dong make up putri jasmine,kak kaya main aladdin naomi scoot per putri jasmine bikin tutorial make up nya make up putri jasmine,netral,1
Gemesss yaampun😚,gemes yaampun,netral,1
Njir sumpah keren.. Pengen beli yg eyeshadownya,njir sumpah keren beli eyeshadownya,positif,2
"kayaknya karena si loose powder nya dehh, pas sebelum tasya baking itu foundationnya udh bagus bgt tp krn baking dan powdernya krg bagus jd kecetak putih gituuu jd mukanya ky menor.",kayak si loose powder nya dehh pas tasya baking foundationnya bagus banget baking powdernya krg bagus cetak putih muka ky menor,negatif,0
ka tasya lucu banget parahh! gemes banget lucu banget hebohnya wkwkwk bikin orang nyengir2 nontonnya lol bikin jd penasaran parahh. love you kak tasyaaaa sukses terus pretty gurllll,kak tasya lucu banget parahh gemes banget lucu banget heboh tertawa bikin orang nyengir nontonnya lol bikin penasaran parahh love you kak tasya sukses pretty gurl,positif,2
Dan karena video ne kak tasya jd collab sm focallure dan lahirlah THE NEEDS ...Bdw bagi kak make up nya yg jarang di pke krn make up ku byk yg kadaluarsa nih...Hehehe berharap kak tasya baca coment ne...,video ne kak tasya collab focallure lahir the needs bdw kak make up nya jarang pakai make up ku byk kadaluarsa tertawa harap kak tasya baca coment ne,netral,1
Eyeliner focallur ku ilang..  😔,eyeliner focallur ku ilang,netral,1
2021anyone,anyone,netral,1
aq.. wakakaka,wakakaka,netral,1
 @marinaramadhany4441  nama tokonya apa kak? Atau ada kontaknya itu????,nama toko kak kontak,netral,1
anadhita first dyah sari bener banget,anadhita first dyah sari bener banget,netral,1
focallure murah malaaang free ongkir cod dan deliveryyy ( @allfocalluremalang ),focallure murah malang free ongkir cod delivery,positif,2
2021? Anyone?,anyone,netral,1
Dupe master 😎😂 sumpah ya nontonnya ikutan gereget jadi pengen bgttt belanja focallure!! Tasyaaaa racun bgttt!,dupe master sumpah ya nontonnya ikut gereget banget belanja focallure tasya racun banget,positif,2
sumpah racuuuunnnnn bgt di awal bulan kaaaaaaaaaa:(,sumpah racun banget kak,netral,1
2021 here's!!!!,here s,netral,1
"Nonton video tasya aku jdi Pengen banget beli semua produk focalure,,
Tasya keren banget make upx
Jdi tambah ngefans dah,, 😘😘😘😘😘😘😘😘",nonton video tasya jdi banget beli produk focalure tasya keren banget make upx jdi ngefans dah,positif,2
"Olá, sou do Brasil e caso você tenha condições, habilite a tecla de legendas automáticas com tradução em seus vídeos! Pois assim, poderemos entender melhor ainda seus tutoriais, amo suas maquiagens! Parabéns!",ol sou do brasil e caso voc tenha condi es habilite a tecla de legendas autom ticas com tradu o em seus v deos pois assim poderemos entender melhor ainda seus tutoriais amo suas maquiagens parab ns,netral,1
abis nntn ini gue langsung kaya org gila mau beli semua nyaaaaaaa,abis nntn langsung kaya orang gila beli nya,positif,2
eyebrow creamnya dia waterproof gak ka tasya ??,eyebrow creamnya waterproof kak tasya,netral,1
"Tasya mirip pemain Kushi yg di Indosiar.. cantik pke bgt siih..
racun,, lgsg pgn beli",tasya main kushi indosiar cantik pakai banget siih racun lgsg beli,positif,2
Aku suka. pertama kali mampir disini,suka kali mampir,positif,2
Racun baruuuuu😄😄😄😄 blm slesai videonya langsung otw ig nya..,racun slesai video langsung jalan ig nya,positif,2
ya ampun 16 menit berasa kaya 5 menit saking serunya XD,ya ampun menit asa kaya menit saking seru xd,netral,1
That foundation is too light,that foundation is too light,netral,1
"din dinda n
animal tested sama animal testing itu beda ya mbak :)",din dinda n animal tested animal testing beda ya mbak,netral,1
2022 ka 🤣,kak,netral,1
Racunnnnn 😩😩😩😩,racun,positif,2
"omg tasyaaa, racun banget deh jadi mau nyobain focallure jugaaa 💜💜💜",ya ampun tasya racun banget deh nyobain focallure,positif,2
Ka itu lipstiknya nomer brpa dan mereknya apa?,kak lipstik nomer brpa merek,netral,1
cantiknya kak tasyaa😍😍,cantik kak tasyaa,positif,2
make up nya apa aja di pake ka tasya pasti keren 😭😭😭 i criiiiiiii ini keren parah 😭😭😭😭,make up nya pakai kak tasya keren i cri keren parah,positif,2
Bln mei 😅,bln mei,netral,1
.  jemaahþßbl,jemaah bl,netral,1
"Ya ampun kak racun banget, langsung beli ke ars_fashion",ya ampun kak racun banget langsung beli ars fashion,positif,2
mei 2019????,mei,netral,1
"“ sumpah ini bagus loh ,ini produk apasi kok murah banget ya “ haha lol",sumpah bagus loh produk apas murah banget ya tertawa lol,positif,2
Aku baru liat videonya thank u tasya untuk rekomendasinya 💕,lihat video thank u tasya rekomendasi,positif,2
"Serius aku kemren juga liat"" di aplikasi perbelanjaan dan dikirim dari luar negri tapi harganya murah"" sempet gak percaya kalok bagus. But aku liat youtube kaka kok kliatan bagus jadi pengen beli jugaa😍😍",serius kemren lihat aplikasi belanja kirim negri harga murah sempet percaya kalok bagus but lihat youtube kaka kliatan bagus beli jugaa,positif,2
"Kak tasya!! 16 menit kurang panjang videonya :((,sukses selalu kak!;)",kak tasya menit video sukses kak,netral,1
Ngakak bgt sih liat dirimu kak tasya! Cablak dan ga dibuat2 tp lucu hahaa love love,tertawa banget sih lihat diri kak tasya cablak lucu hahaa love love,positif,2
Bagusan mana kak sama make over?,bagus kak make over,positif,2
Itu thumbnailnya mirip banget sama dualipa omg 😂,thumbnailnya banget dualipa ya ampun,netral,1
Racun,racun,positif,2
That is very true all pigmented I love all the colours I got all this brand ❤️❤️❤️❤️❤️ don't know how to say recommended 🤭😂 hasutan,that is very true all pigmented i love all the colours i got all this brand don t know how to say rekomendasi hasut,positif,2
racuun bangeet kak. pengen belii focallure jadinya. padahal makeup dirumah masih pada belum abis huhu 😣😣,racuun bangeet kak beli focallure makeup rumah abis huhu,positif,2
"kak tasyaaa, eyeliner sama mascara nya smudge proof gaaa? 
kaya kalo pas cuci muka, jadi panda eye apa engga?",kak tasya eyeliner mascara nya smudge proof kaya pas cuci muka panda eye engga,netral,1
Ka  gila nya,kak gila nya,netral,1
jadi inget bioaqua yg copycat skinaqua,inget bioaqua copycat skinaqua,netral,1
ok fix kak tasya sama kak suhay adalah  beauty vlogger keturunan arab favorit 😭 keliatan banget dari cara ngomongnya kak tasya orang yg baik.sukses terus ya kak.dan semoga sering2 ngasi kita racun soal makeup makeup 😂💕,ok kak tasya kak suhay beauty vlogger turun arab favorit liat banget ngomongnya kak tasya orang sukses ya kak moga ngasi racun makeup makeup,positif,2
Subhanalove . Jd pgn lgsg beli ajaaa!!!,subhanalove lgsg beli,positif,2
Terang bt ya kak jaman dulu,terang bt ya kak jaman,netral,1
" @SINTA413  halo, aku monica. kuliah di unmer malang, jurusan ilmu komunikasi. boleh minta waktunya sebentar untuk mengisi kuisioner untuk keperluan skripsi mengenai vlog tasya farasya focallure one brand tutorial :) https://docs.google.com/forms/d/1G-wFG_dkjX3B17pvIzBkEHXRYhuK97gZnaBultnqFy4/edit . terima kasih atas bantuannya^^",halo monica kuliah unmer malang jurus ilmu komunikasi sebentar isi kuisioner perlu skripsi vlog tasya farasya focallure one brand tutorial terima kasih bantu,netral,1
ini poduknya halal ??,poduknya halal,netral,1
Eyelinernya doff ga ka?,eyelinernya doff kak,netral,1
fix ini vlog terlucu hahaha sepanjang video istilah2 lo bikin ngakak sih ca,vlog lucu tertawa video istilah lo bikin tertawa sih ca,netral,1
"Bisa bgt ngeracunnya,,
Dan OMG, Demi apa itu keren semua, dengan harga Dibawah 100k Gila bgt yh nih Produk,,, 😱 

Aku mau jadi Owner Focalure (999+) 😂😂",banget ngeracunnya ya ampun keren harga bawah k gila banget yh produk owner focalure,positif,2
Beli di fabulash.byfaby aja gaes. Ori murah tp ori,beli fabulash byfaby gaes ori murah ori,positif,2
Me😹,me,netral,1
"tasya farasya gegara ini gw jd subscribe pdhl dh srg nonton video km yg lain. trus jg ini satu""ny video yg ak share. g sabarrrr mw beli jg focallure",tasya farasya gegara subscribe pdhl dh srg nonton video km ny video ak share g sabar mw beli focallure,positif,2
Mirip dualipa :),dualipa,netral,1
Ada yg liat taun 2019 bulan maret ga? Wkwkwk,lihat taun maret tertawa,netral,1
Jangan lupa mampir ke channel kami juga yaa ka. Semoga bermanfaat 😇 https://youtu.be/x1XtS0APl9g,lupa mampir channel ya kak moga manfaat,netral,1
"Asli aku sampe ngecheck instagram nya dong, parah sih racun banget hehe. 
Bikin house tour dong sya atau room tour. 
Semangat untuk upload youtube terus yaaaa 💕",asli ngecheck instagram nya parah sih racun banget hehe bikin house tour sya room tour semangat upload youtube ya,positif,2
kk jdi semua kk belik berapa uang kk tasyah☺☺,kak jdi kak belik uang kak tasyah,positif,2
"langsung search produknya. demi apa buat eyeshadow, lipstick, mascara, eyeliner, cuma 153ribuan aja:( bermanfaat bgt kak, thx u😘",langsung search produk eyeshadow lipstick mascara eyeliner ribu manfaat banget kak terima kasih u,netral,1
Eyelinernya bagus ya kak,eyelinernya bagus ya kak,positif,2
Lisa Martyani aku beli di olshop ig @belangibeauty.store olshop langganan aku,lisa martyani beli online shop ig store online shop langgan,positif,2
terang bgt silauu,terang banget silauu,netral,1
Rien Sulis i,rien sulis i,netral,1
Cahayanya terlalu terang,cahaya terang,netral,1
"Akhirnyaaa, aku emang syuka banget sama eye shadow focallure 😍",syuka banget eye shadow focallure,netral,1
"racuuun pas nonton lgsng sambil pesen, bikin ga sabar sampe",racun pas nonton lgsng sen bikin sabar,netral,1
nonton juni 2019 jam 12 malem lol,nonton juni jam malem lol,netral,1
ka tasya slalu sukses ngeracun yaaa. LUV,kak tasya slalu sukses ngeracun ya luv,positif,2
like banget video ini.. thanks reviewnya..semua cewe pasti suka produk murah tapi ga murahan. aku slalu cari review yg kyak gini. love tasya deh,like banget video terima kasih reviewnya cewe suka produk murah murah slalu cari review kyak love tasya deh,positif,2
Perfect.,perfect,netral,1
Harganya naik apa turun yaa sekarang ?,harga turun ya,netral,1
macam hantu🤭😂 maybe foundation not recommended..,hantu maybe foundation not rekomendasi,positif,2
TIM 2018 NONTON 2KALI,tim nonton kali,netral,1
"Pas pake eye shadow, ""omaygat guys ini gila, ini ungenr banget, kalian harus beli eye shadow nya focallure sekarang juga"" @tasyafarasya wkwkwkkw",pas pakai eye shadow omaygat guys gila ungenr banget beli eye shadow nya focallure wkwkwkkw,positif,2
kaget dong opening nya astaga:)),kaget opening nya astaga,netral,1
"kak tasya, itu kalo aku totalin smw produk make up yg kk pake, totalnya tembus 1,1 jt'an wkwk",kak tasya totalin smw produk make up kak pakai total tembus jt an tertawa,netral,1
Seneng bgt liat tasya teriak teriak heboh haha. Jadi ikutan excited nontonnya!😂,neng banget lihat tasya teriak teriak heboh tertawa ikut excited nontonnya,netral,1
Oktober 2019 😅😅 beljr make up,oktober beljr make up,netral,1
2021 baru nonton,nonton,netral,1
Mba pernah ada yg bilang mirip Elizabeth Gillies ngga?,mba bilang elizabeth gillies,netral,1
kak itu smuanya aman ga sih? murah bgt hahaha,kak smuanya aman sih murah banget tertawa,positif,2
keputifan muka mu,keputifan muka mu,netral,1
Aku beli conseler yg big di shoppe 15rb kak,beli conseler big shoppe rb kak,positif,2
"kak Tasya, aku udah buktikan beli dan nyoba produk foccalure, sumpahh keren banget bagus nya😅 mantap jiwaaa 😄😄😄😄 😘😘😘😘 murah meriah pulaa,,, uaaaaa pngen tereak ajaa hahahha *maap lebayy 😂. #tapiseriusbagus#foccaluremantap",kak tasya bukti beli nyoba produk foccalure sumpahh keren banget bagus nya mantap jiwa murah riah pulaa ua pngen reak ajaa hahahha maap lebayy,positif,2
March 2021,march,netral,1
tasya itu keturunan arab.. mamanya fam nya alatas.. papanya kalau ga salah fam nya alhaddad if im not mistaken..,tasya turun arab mama fam nya alatas papa salah fam nya alhaddad if im not mistaken,netral,1
"parah, baru beli eyeshadow! kenapa baru ada video iniii😭😭😭😭",parah beli eyeshadow video,positif,2
DANGGG YOU ARE NO WAY INDONESIAAANN FINALLYY I FOUND MY FAV YOUTUBER OMG😍😍😍😍😍😍☺️☺️☺️☺️☺️☺️,dang you are no way indonesiann finallyy i found my fav youtuber ya ampun,netral,1
